jurisdiction,category,change_2004_05_to_2023_24_pct,notation_key,notation_meaning
Vic,Total (net emissions),-0.2853356453182183,,
Vic,1. Energy,-0.2556467331671882,,
Vic,A. Fuel combustion (sectoral approach),-0.25670558410084443,,
Vic,1.  Energy industries,-0.37170051615232225,,
Vic,2.  Manufacturing industries and construction,-0.38759599676174145,,
Vic,3.  Transport,0.10314212346106641,,
Vic,4.  Other sectors,-0.09450950589049906,,
Vic,5.  Other,,NA,Not applicable
Vic,B. Fugitive emissions from fuels,-0.20943803770825486,,
Vic,1.  Solid fuels,,NA,Not applicable
Vic,2.  Oil and natural gas and other emissions from energy production,,NA,Not applicable
Vic,C. CO₂ transport and storage,,NA,Not applicable
Vic,2.  Industrial Processes,0.28544937537639886,,
Vic,A.  Mineral industry,-0.7712373258964204,,
Vic,B.  Chemical industry,0.8079547539885397,,
Vic,C.  Metal industry,,NA,Not applicable
Vic,D.  Non-energy products from fuels and solvent use,-0.5407500000000002,,
Vic,E.  Electronic industry,,NA,Not applicable
Vic,F.  Product uses as ODS substitutes,2.107737984228419,,
Vic,G.  Other product manufacture and use,-0.5072090718348126,,
Vic,H.  Other,,NA,Not applicable
Vic,3.  Agriculture,-0.1552163676669646,,
Vic,A.  Enteric fermentation,-0.1948286987731647,,
Vic,B.  Manure management,-0.26822332361052525,,
Vic,C.  Rice cultivation,-0.8243058597658877,,
Vic,D.  Agricultural soils,0.0158430292904268,,
Vic,E.  Prescribed burning of savannas,,NA,Not applicable
Vic,F.  Field burning of agricultural residues,1.2631573646922356,,
Vic,G. Liming,0.2609572728541443,,
Vic,H. Urea application,1.0084081682395882,,
Vic,I.  Other carbon-containing fertilizers,,NA,Not applicable
Vic,J.  Other,,NA,Not applicable
Vic,"4. Land Use, Land-Use Change and Forestry",-0.8783334747189895,,
Vic,A. Forest Land,0.07700548788050413,,
Vic,1.  Forest land remaining forest land,0.4602322516562346,,
Vic,2.  Land converted to forest land,-0.7380004493738801,,
Vic,B. Cropland,-2.138268996305884,,
Vic,1.  Cropland remaining cropland,-2.5997050565079167,,
Vic,2.  Land converted to cropland,-0.3340256194660673,,
Vic,C. Grassland,-0.9607927359134669,,
Vic,1.  Grassland remaining grassland,-3.591044566331083,,
Vic,2.  Land converted to grassland,-0.42365058837463737,,
Vic,D. Wetland,0.14115290289140908,,
Vic,1.  Wetland remaining wetland,0.10543732640935591,,
Vic,2.  Land converted to wetland,0.25635991540721975,,
Vic,E. Settlements,-0.26918251590287995,,
Vic,1.  Settlements remaining settlements,-3.640215915879099,,
Vic,2.  Land converted to settlements,-0.11474371879235258,,
Vic,G. Harvested Wood Products,0.715593382159476,,
Vic,Memo items:,,NA,Not applicable
Vic,Forest converted to other land uses,,NA,Not applicable
Vic,Direct emissions from forest clearing,,NA,Not applicable
Vic,Emissions from post-clearing land uses,,NA,Not applicable
Vic,5.  Waste,-0.20521362446584276,,
Vic,A.  Solid waste disposal,-0.29081805366657465,,
Vic,B.  Biological treatment of solid waste,1.1368024797530387,,
Vic,C.  Incineration and open burning of waste,0,,
Vic,D.  Waste water treatment and discharge,0.08535823436431932,,
Vic,E.  Other,,NA,Not applicable
Qld,Total (net emissions),-0.3041142220927908,,
Qld,1. Energy,0.1775981890938769,,
Qld,A. Fuel combustion (sectoral approach),0.1436402386958412,,
Qld,1.  Energy industries,0.09108291230760539,,
Qld,2.  Manufacturing industries and construction,0.022462812351101407,,
Qld,3.  Transport,0.3396235605910133,,
Qld,4.  Other sectors,0.2933376667976519,,
Qld,5.  Other,,NA,Not applicable
Qld,B. Fugitive emissions from fuels,0.39229640602119725,,
Qld,1.  Solid fuels,0.2032287188534307,,
Qld,2.  Oil and natural gas and other emissions from energy production,3.157407581689619,,
Qld,C. CO₂ transport and storage,,NA,Not applicable
Qld,2.  Industrial Processes,0.06421525696843249,,
Qld,A.  Mineral industry,-0.013128276552420357,,
Qld,B.  Chemical industry,-0.2926179942248468,,
Qld,C.  Metal industry,,NA,Not applicable
Qld,D.  Non-energy products from fuels and solvent use,-0.2603921568627451,,
Qld,E.  Electronic industry,,NA,Not applicable
Qld,F.  Product uses as ODS substitutes,2.1803480484851536,,
Qld,G.  Other product manufacture and use,-0.4956953660009232,,
Qld,H.  Other,,NA,Not applicable
Qld,3.  Agriculture,0.005171820753246263,,
