STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2006790,47.13%,-0.03%
VIC,435664,10.23%,0.03%
QLD,620563,14.57%,0.04%
SA,571868,13.43%,0.21%
WA,448622,10.54%,-0.10%
TAS,143082,3.36%,-0.04%
NT,7347,0.17%,-0.01%
ACT,24412,0.57%,0.05%
TOTAL,4258348,100.00%,0.01%
