category_code,category,postcode,period,period_type,metric_text,value
SGU-Solar,Small Generation Unit - Solar Panel,0,all-time,grand_total,Rated Power Output In kW,4.46
SGU-Solar,Small Generation Unit - Solar Panel,200,all-time,grand_total,Rated Power Output In kW,0.08
SGU-Solar,Small Generation Unit - Solar Panel,800,all-time,grand_total,Rated Power Output In kW,5375.089999999999
SGU-Solar,Small Generation Unit - Solar Panel,801,all-time,grand_total,Rated Power Output In kW,386.59800000000007
SGU-Solar,Small Generation Unit - Solar Panel,803,all-time,grand_total,Rated Power Output In kW,11.685
SGU-Solar,Small Generation Unit - Solar Panel,804,all-time,grand_total,Rated Power Output In kW,84.87
SGU-Solar,Small Generation Unit - Solar Panel,810,all-time,grand_total,Rated Power Output In kW,32680.546
SGU-Solar,Small Generation Unit - Solar Panel,811,all-time,grand_total,Rated Power Output In kW,9
SGU-Solar,Small Generation Unit - Solar Panel,812,all-time,grand_total,Rated Power Output In kW,16673.049999999992
SGU-Solar,Small Generation Unit - Solar Panel,813,all-time,grand_total,Rated Power Output In kW,85.54899999999999
SGU-Solar,Small Generation Unit - Solar Panel,814,all-time,grand_total,Rated Power Output In kW,18.240000000000002
SGU-Solar,Small Generation Unit - Solar Panel,820,all-time,grand_total,Rated Power Output In kW,19136.449000000004
SGU-Solar,Small Generation Unit - Solar Panel,821,all-time,grand_total,Rated Power Output In kW,165.543
SGU-Solar,Small Generation Unit - Solar Panel,822,all-time,grand_total,Rated Power Output In kW,17318.733999999997
SGU-Solar,Small Generation Unit - Solar Panel,828,all-time,grand_total,Rated Power Output In kW,7016.996000000006
SGU-Solar,Small Generation Unit - Solar Panel,829,all-time,grand_total,Rated Power Output In kW,1596.5399999999997
SGU-Solar,Small Generation Unit - Solar Panel,830,all-time,grand_total,Rated Power Output In kW,19801.008999999995
SGU-Solar,Small Generation Unit - Solar Panel,831,all-time,grand_total,Rated Power Output In kW,45.379999999999995
SGU-Solar,Small Generation Unit - Solar Panel,832,all-time,grand_total,Rated Power Output In kW,22931.594000000005
SGU-Solar,Small Generation Unit - Solar Panel,834,all-time,grand_total,Rated Power Output In kW,3046.3770000000018
SGU-Solar,Small Generation Unit - Solar Panel,835,all-time,grand_total,Rated Power Output In kW,5428.3279999999995
SGU-Solar,Small Generation Unit - Solar Panel,836,all-time,grand_total,Rated Power Output In kW,12598.246000000005
SGU-Solar,Small Generation Unit - Solar Panel,837,all-time,grand_total,Rated Power Output In kW,693.5709999999999
SGU-Solar,Small Generation Unit - Solar Panel,838,all-time,grand_total,Rated Power Output In kW,1697.712000000001
SGU-Solar,Small Generation Unit - Solar Panel,839,all-time,grand_total,Rated Power Output In kW,819.29
SGU-Solar,Small Generation Unit - Solar Panel,840,all-time,grand_total,Rated Power Output In kW,1100.3999999999999
SGU-Solar,Small Generation Unit - Solar Panel,841,all-time,grand_total,Rated Power Output In kW,1073.7450000000003
SGU-Solar,Small Generation Unit - Solar Panel,845,all-time,grand_total,Rated Power Output In kW,763.121
SGU-Solar,Small Generation Unit - Solar Panel,846,all-time,grand_total,Rated Power Output In kW,392.9200000000001
SGU-Solar,Small Generation Unit - Solar Panel,847,all-time,grand_total,Rated Power Output In kW,288.46500000000003
SGU-Solar,Small Generation Unit - Solar Panel,850,all-time,grand_total,Rated Power Output In kW,9373.703999999998
SGU-Solar,Small Generation Unit - Solar Panel,851,all-time,grand_total,Rated Power Output In kW,364.37499999999994
SGU-Solar,Small Generation Unit - Solar Panel,852,all-time,grand_total,Rated Power Output In kW,5170.440000000003
SGU-Solar,Small Generation Unit - Solar Panel,853,all-time,grand_total,Rated Power Output In kW,52.97
SGU-Solar,Small Generation Unit - Solar Panel,854,all-time,grand_total,Rated Power Output In kW,263.84499999999997
SGU-Solar,Small Generation Unit - Solar Panel,860,all-time,grand_total,Rated Power Output In kW,1759.4290000000003
SGU-Solar,Small Generation Unit - Solar Panel,861,all-time,grand_total,Rated Power Output In kW,136.115
SGU-Solar,Small Generation Unit - Solar Panel,862,all-time,grand_total,Rated Power Output In kW,1237.1049999999998
SGU-Solar,Small Generation Unit - Solar Panel,870,all-time,grand_total,Rated Power Output In kW,22720.325999999997
SGU-Solar,Small Generation Unit - Solar Panel,871,all-time,grand_total,Rated Power Output In kW,438.21999999999997
SGU-Solar,Small Generation Unit - Solar Panel,872,all-time,grand_total,Rated Power Output In kW,4737.112
SGU-Solar,Small Generation Unit - Solar Panel,873,all-time,grand_total,Rated Power Output In kW,1912.4040000000005
SGU-Solar,Small Generation Unit - Solar Panel,874,all-time,grand_total,Rated Power Output In kW,193.98999999999995
SGU-Solar,Small Generation Unit - Solar Panel,875,all-time,grand_total,Rated Power Output In kW,1311.8860000000009
SGU-Solar,Small Generation Unit - Solar Panel,880,all-time,grand_total,Rated Power Output In kW,879.4509999999998
SGU-Solar,Small Generation Unit - Solar Panel,881,all-time,grand_total,Rated Power Output In kW,189.91
SGU-Solar,Small Generation Unit - Solar Panel,885,all-time,grand_total,Rated Power Output In kW,784.5900000000001
SGU-Solar,Small Generation Unit - Solar Panel,886,all-time,grand_total,Rated Power Output In kW,268.89000000000004
SGU-Solar,Small Generation Unit - Solar Panel,1340,all-time,grand_total,Rated Power Output In kW,1.14
SGU-Solar,Small Generation Unit - Solar Panel,1355,all-time,grand_total,Rated Power Output In kW,6.83
SGU-Solar,Small Generation Unit - Solar Panel,1435,all-time,grand_total,Rated Power Output In kW,1.54
SGU-Solar,Small Generation Unit - Solar Panel,1460,all-time,grand_total,Rated Power Output In kW,4.75
SGU-Solar,Small Generation Unit - Solar Panel,1465,all-time,grand_total,Rated Power Output In kW,10.56
SGU-Solar,Small Generation Unit - Solar Panel,1470,all-time,grand_total,Rated Power Output In kW,5.8100000000000005
SGU-Solar,Small Generation Unit - Solar Panel,1475,all-time,grand_total,Rated Power Output In kW,20.285000000000004
SGU-Solar,Small Generation Unit - Solar Panel,1480,all-time,grand_total,Rated Power Output In kW,4.88
SGU-Solar,Small Generation Unit - Solar Panel,1485,all-time,grand_total,Rated Power Output In kW,2
