STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,315247,22.27%,0.49%
VIC,341357,24.12%,0.67%
QLD,298905,21.12%,0.46%
SA,143749,10.16%,0.75%
WA,231636,16.37%,0.62%
TAS,44059,3.11%,0.49%
NT,11043,0.78%,1.30%
ACT,29424,2.08%,0.91%
TOTAL,1415420,100.00%,0.59%
