STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2019621,47.22%,-0.03%
VIC,441365,10.32%,0.12%
QLD,624099,14.59%,0.04%
SA,558357,13.05%,0.20%
WA,456585,10.68%,-0.10%
TAS,144529,3.38%,-0.02%
NT,7616,0.18%,-0.07%
ACT,24818,0.58%,0.40%
TOTAL,4276990,100.00%,0.02%
