STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2214535,46.16%,-0.05%
VIC,504238,10.51%,-0.12%
QLD,705564,14.71%,-0.11%
SA,593244,12.37%,-0.08%
WA,563724,11.75%,-0.24%
TAS,174533,3.64%,-0.08%
NT,10488,0.22%,-0.14%
ACT,31272,0.65%,0.04%
Other,160,0.00%,0.00%
TOTAL,4797758,100.00%,-0.09%
