STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,103207,229290,250463,226013,160334,146352,1115659,42.19%
VIC,18673,48752,45384,40988,28594,25001,207392,10.62%
QLD,72122,97356,80890,52719,33329,21815,358231,23.28%
SA,35596,55963,58218,57144,43406,38111,288438,47.40%
WA,10259,53162,66037,58386,42428,39925,270197,34.27%
TAS,2457,16117,19880,19478,14013,14234,86179,46.42%
NT,184,805,1306,1024,701,283,4303,5.45%
ACT,750,2706,3208,2725,2056,1375,12820,10.11%
Other,0,6,21,27,17,4,75,0.00%
TOTAL,243248,504157,525407,458504,324878,287100,2343294,29.57%
