Year,Level A,Level B,Level D
2012-13,0,3,1
2013-14,1,1,0
2014-15,2,1,1
2015-16,2,1,1
2016-17,2,1,1
2017-18,2,2,1
2018-19,2,2,1
2019-20,2,2,1
2020-21,1,2,1
2021-22,3,1,1
2022-23,3,1,1
2023-24,3,1,1
