corporate_group_name,sector,corporate_group_employee_count,employer_name,employer_abn,is_parent_organisation,employer_employee_count
1884 Pty Ltd,Private,131,Stuart Alexander & Co Pty Ltd,43000058677,No,120
1Step Communications Pty Ltd,Private,138,1Step Communications Pty Ltd,27104864986,Yes,128
24-7HEALTHCARE PTY LTD,Private,82,No relevant subsidiary employers,,,
29Metals Limited,Private,331,Golden Grove Operations Pty Ltd,92114868325,No,260
2XM GROUP PTY LTD,Private,358,2XM RECRUIT PTY LTD,39146853330,No,224
2XM GROUP PTY LTD,Private,358,SUSTAINABILITY CONSULTING PARTNERS PTY LTD,19607271447,No,109
5G Networks Holdings Pty Ltd,Private,170,5G Networks Operations Pty Ltd,80620305393,No,159
84 Capital Pty Ltd,Private,101,No relevant subsidiary employers,,,
A Abrahams & Others,Private,621,A Abrahams & Others,58207240529,Yes,371
A Abrahams & Others,Private,621,The Trustee for Lanro Discretionary Trust,98041017946,No,250
A B C Tissue Products Pty Ltd,Private,742,A B C Tissue Products Pty Ltd,33003085112,Yes,360
A B C Tissue Products Pty Ltd,Private,742,Queensland Tissue Products Pty Ltd,87100661685,No,294
A H Beard Holdings Pty Limited,Private,327,A H Beard Holdings Pty Limited,79001569937,Yes,81
A H Beard Holdings Pty Limited,Private,327,A.H. Beard Pty Ltd,47000060677,No,246
A.G. Coombs Pty. Ltd.,Private,1148,A G Coombs Servicing Pty Limited,57053933056,No,232
A.G. Coombs Pty. Ltd.,Private,1148,A.G. Coombs (NSW) Pty. Ltd.,60134239768,No,91
A.G. Coombs Pty. Ltd.,Private,1148,A.G. Coombs Pty. Ltd.,49005653332,Yes,417
A.G. Coombs Pty. Ltd.,Private,1148,Walker Fire Protection Pty Limited,21006028673,No,109
A.G. O'Connor Pty Ltd,Private,123,No relevant subsidiary employers,,,
A.J. Bush & Sons Pty Ltd,Private,143,No relevant subsidiary employers,,,
a.k.a Brands Holding Corp,Private,722,Culture Kings Pty Ltd,44140242968,No,216
a.k.a Brands Holding Corp,Private,722,PRINCESS POLLY ONLINE PTY LTD,43169210520,No,227
a.k.a Brands Holding Corp,Private,722,TF APPAREL PTY LTD,27140259918,No,211
A.M.A. Services (W.A.) Pty Ltd,Private,101,A.M.A. Services (W.A.) Pty Ltd,47008671458,Yes,87
A.p. Moller-Maersk A/S,Private,627,Damco Australia Pty Ltd,70006211052,No,134
A.p. Moller-Maersk A/S,Private,627,LF Logistics (Australia) Pty Limited,67637738268,No,314
A.p. Moller-Maersk A/S,Private,627,Maersk A/S,56600976725,No,179
Aaa Egg Company Pty Ltd,Private,125,Aaa Egg Company Pty Ltd,63079437639,Yes,113
Aab Holdings Pty Limited,Private,199,PEGASUS MEDIA & LOGISTICS PTY LTD,32131427695,No,160
AAM Investment Group Pty Ltd,Private,86,No relevant subsidiary employers,,,
AAPC Limited,Private,6999,AAPC Limited,87009175820,Yes,247
AAPC Limited,Private,6999,Aapc Properties Pty Limited,17065560885,No,1626
AAPC Limited,Private,6999,Accor Australia & New Zealand Hospitality Pty Limited,74002462017,No,619
AAPC Limited,Private,6999,Mantra Hospitality Admin Pty Ltd,61110228478,No,4256
AAPC Limited,Private,6999,Qp Management Pty Limited,97001092842,No,116
AAPC Limited,Private,6999,The Trustee For Allegiance Marketing Unit Trust,58805288553,No,119
AAW Group Holdings Pty Ltd,Private,110,No relevant subsidiary employers,,,
Abacus Storage Operations Limited,Private,456,Storage King Management Pty Ltd,13104755946,No,399
Abbott Australasia Pty Ltd,Private,557,Abbott Australasia Pty Ltd,95000180389,Yes,234
Abbott Australasia Pty Ltd,Private,557,Abbott Medical Australia Pty Ltd.,73080212746,No,297
Able Australia Services,Private,1345,Able Australia Services,83024339234,Yes,768
Able Australia Services,Private,1345,MOSAIC SUPPORT SERVICES (TAS) INC,72733048258,No,577
Abt Associates Pty Ltd,Private,111,No relevant subsidiary employers,,,
ACADEMIES AUSTRALASIA GROUP LIMITED,Private,345,ACADEMIES AUSTRALASIA POLYTECHNIC PTY LIMITED,28100905182,No,105
Accent Group Limited,Private,7478,Accent Active Pty Ltd,93637053028,No,376
Accent Group Limited,Private,7478,Accent Group Limited,85108096251,Yes,229
Accent Group Limited,Private,7478,Accent Lifestyle Pty Ltd,79636815284,No,885
Accent Group Limited,Private,7478,Hype Dc Pty Limited,16081432313,No,769
Accent Group Limited,Private,7478,Platypus Shoes (Australia) Pty Ltd,86122726907,No,4012
Accent Group Limited,Private,7478,The Athlete's Foot Australia Pty Limited,57001777582,No,1113
Accenture Australia Holdings Pty Ltd,Private,5903,Accenture Australia Pty Ltd,49096776895,No,5382
Accenture Australia Holdings Pty Ltd,Private,5903,Avanade Australia Pty Limited,58093925207,No,521
