"State","16-17","18-24","25-34","35-44","45-54","55-64","65+","Total","% of ABS Estimated Population"
NSW,145,3599,17110,24951,28799,31659,56979,163242,5.6%
VIC,80,5126,29674,34156,32987,31058,42325,175406,7.8%
QLD,73,2825,16546,22935,26507,27223,41469,137578,7.6%
SA,2964,9273,12965,11722,13454,13843,22825,87046,13.1%
WA,32,2943,17206,19761,21022,20258,26874,108096,10.7%
TAS,7,584,2654,3106,3765,4431,6128,20675,10.2%
NT,0,119,848,1040,1129,1023,760,4919,5.0%
ACT,7,609,3247,3273,3072,2713,3319,16240,10.7%
TOTAL,3308,25078,100250,120944,130735,132208,200679,713202,7.8%
