"State","Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds)","State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds)","% Variance from previous month"
NSW,424830,22.69%,0.40%
VIC,468022,25.00%,0.31%
QLD,370273,19.79%,0.32%
SA,213987,11.43%,0.48%
WA,283534,15.14%,0.17%
TAS,55987,2.99%,0.18%
NT,13691,0.73%,0.04%
ACT,41837,2.23%,0.28%
TOTAL,1872161,100.00%,0.32%
