State,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population,,
NSW,454,11011,43203,53777,49622,49128,73584,280779,9.2%,,
VIC,394,17002,68133,64666,54273,46924,56243,307635,12.8%,,
QLD,447,10935,43754,49733,46516,42713,52251,246349,13.1%,,
SA,3231,13910,23996,20398,20476,20278,29078,131367,18.9%,,
WA,143,7953,38005,37237,33868,29701,33725,180632,17.9%,,
TAS,52,1988,6362,6473,6894,7030,7747,36546,17.5%,,
NT,13,436,2366,2250,1824,1328,843,9060,10.4%,,
ACT,33,1660,6511,5919,4609,3754,4413,26899,17.2%,,
TOTAL,4767,64895,232330,240453,218082,200856,257884,1219267,12.8%,,
