State,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,451957,23.07%,1.30%
VIC,489941,25.01%,0.78%
QLD,389386,19.88%,1.06%
SA,221159,11.29%,0.63%
WA,290909,14.85%,0.56%
TAS,57728,2.95%,0.54%
NT,14080,0.72%,0.76%
ACT,43765,2.23%,0.85%
TOTAL,1958925,100%,0.90%
