2025 Federal Election House of Representatives Two Party Preferred By Division [Event:31496 Phase:FinalResults Generated:2025-06-16T10:39:06 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
DivisionNm,DivisionID,StateAb,PartyAb,Australian Labor Party Votes,Australian Labor Party Percentage,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,TotalVotes,Swing
Adelaide,179,SA,ALP,78796,69.07,35293,30.93,114089,7.16
Aston,197,VIC,ALP,58690,53.43,51159,46.57,109849,6.04
Ballarat,198,VIC,ALP,63419,60.66,41121,39.34,104540,-2.32
Banks,103,NSW,ALP,51830,52.39,47105,47.61,98935,5.03
Barker,180,SA,LP,40249,37.02,68465,62.98,108714,3.64
Barton,104,NSW,ALP,65971,66,33980,34,99951,4.01
Bass,192,TAS,ALP,41532,58.01,30062,41.99,71594,9.44
Bean,318,ACT,ALP,71161,69.29,31539,30.71,102700,6.34
Bendigo,200,VIC,ALP,54800,51.4,51817,48.6,106617,51.4
Bennelong,105,NSW,ALP,65076,59.26,44736,40.74,109812,9.3
Berowra,106,NSW,LP,55895,48.37,59673,51.63,115568,5.93
Blair,304,QLD,ALP,65156,55.71,51797,44.29,116953,0.48
Blaxland,107,NSW,ALP,62474,71.9,24412,28.1,86886,8.86
Bonner,310,QLD,ALP,54506,55,44600,45,99106,8.41
Boothby,182,SA,ALP,71698,61.1,45641,38.9,117339,7.82
Bowman,155,QLD,LNP,51372,47.57,56615,52.43,107987,3.08
Braddon,193,TAS,ALP,42809,57.2,32031,42.8,74840,15.23
Bradfield,108,NSW,LP,50544,45.05,61658,54.95,112202,1.18
Brand,235,WA,ALP,62766,66.92,31027,33.08,93793,-0.15
Brisbane,156,QLD,ALP,65295,58.96,45450,41.04,110745,58.96
Bruce,201,VIC,ALP,70751,64.62,38743,35.38,109494,9.31
Bullwinkel,329,WA,ALP,52865,50.51,51799,49.49,104664,-2.84
Burt,317,WA,ALP,64845,65.71,33846,34.29,98691,2.42
Calare,109,NSW,NP,40109,37.74,66158,62.26,106267,3.19
Calwell,203,VIC,ALP,58127,64.71,31704,35.29,89831,2.32
Canberra,101,ACT,ALP,71378,76.42,22027,23.58,93405,3.96
Canning,236,WA,LP,43730,43.45,56917,56.55,100647,-5.35
Capricornia,157,QLD,LNP,43573,44.17,55085,55.83,98658,0.76
Casey,204,VIC,LP,52084,47.11,58479,52.89,110563,-1.46
Chifley,111,NSW,ALP,62440,69.83,26974,30.17,89414,6.18
Chisholm,205,VIC,ALP,62773,55.7,49923,44.3,112696,2.37
Clark,319,TAS,ALP,47871,70.89,19660,29.11,67531,3.65
Cook,112,NSW,LP,45530,42.81,60834,57.19,106364,4.43
Cooper,320,VIC,ALP,84489,78.53,23097,21.47,107586,2.82
Corangamite,328,VIC,ALP,60381,58.05,43639,41.95,104020,0.21
Corio,208,VIC,ALP,69698,63.23,40529,36.77,110227,0.74
Cowan,237,WA,ALP,61179,63.63,34962,36.37,96141,3.69
Cowper,113,NSW,NP,44089,40.92,63646,59.08,107735,0.45
Cunningham,114,NSW,ALP,77970,67.52,37504,32.48,115474,2.45
Curtin,238,WA,LP,50399,47.84,54949,52.16,105348,3.48
Dawson,158,QLD,LNP,37587,38.17,60881,61.83,98468,-1.41
Deakin,209,VIC,ALP,61014,52.82,54493,47.18,115507,2.84
Dickson,252,QLD,ALP,59115,55.99,46464,44.01,105579,7.69
Dobell,115,NSW,ALP,61465,59.43,41962,40.57,103427,2.87
Dunkley,210,VIC,ALP,62314,57.08,46860,42.92,109174,0.31
Durack,312,WA,LP,35050,39.85,52912,60.15,87962,-5.49
Eden-Monaro,117,NSW,ALP,61270,57.21,45818,42.79,107088,1.13
Fadden,159,QLD,LNP,48034,43.12,63364,56.88,111398,3.75
Fairfax,160,QLD,LNP,51938,46.77,59110,53.23,111048,5.72
Farrer,118,NSW,LP,38251,37.11,64812,62.89,103063,3.46
Fenner,102,ACT,ALP,68088,72.08,26372,27.92,94460,6.39
Fisher,161,QLD,LNP,52087,43.97,66385,56.03,118472,2.64
Flinders,211,VIC,LP,51966,45.22,62957,54.78,114923,1.38
Flynn,311,QLD,LNP,38781,39.76,58762,60.24,97543,-6.42
Forde,162,QLD,ALP,55662,51.77,51866,48.23,107528,6
Forrest,239,WA,LP,47505,47.76,51952,52.24,99457,1.95
Fowler,119,NSW,ALP,63371,68.19,29567,31.81,92938,12.29
Franklin,195,TAS,ALP,53096,69.44,23366,30.56,76462,5.74
Fraser,321,VIC,ALP,77401,72.02,30066,27.98,107467,5.46
Fremantle,240,WA,ALP,70145,68.68,31985,31.32,102130,1.75
Gellibrand,212,VIC,ALP,68489,65.1,36713,34.9,105202,3.9
Gilmore,120,NSW,ALP,61223,55.13,49830,44.87,111053,4.96
Gippsland,213,VIC,NP,32102,30.64,72656,69.36,104758,1.21
Goldstein,214,VIC,LP,53246,46.03,62427,53.97,115673,-0.25
Gorton,309,VIC,ALP,68380,60.28,45050,39.72,113430,0.3
Grayndler,121,NSW,ALP,88897,80.18,21981,19.82,110878,3.55
Greenway,122,NSW,ALP,65518,63.76,37237,36.24,102755,5.82
Grey,183,SA,LP,48479,45.36,58402,54.64,106881,5.43
Griffith,163,QLD,ALP,72015,65.94,37197,34.06,109212,4.87
Groom,164,QLD,LNP,37829,36.65,65390,63.35,103219,0.82
Hasluck,305,WA,ALP,63039,65.97,32512,34.03,95551,5.93
Hawke,326,VIC,ALP,59830,57.63,43987,42.37,103817,0.01
Herbert,165,QLD,LNP,35988,36.59,62374,63.41,98362,-1.64
Hindmarsh,185,SA,ALP,74623,66.35,37848,33.65,112471,7.4
Hinkler,166,QLD,LNP,47836,43.74,61534,56.26,109370,3.81
Holt,216,VIC,ALP,63538,64.03,35695,35.97,99233,6.92
Hotham,217,VIC,ALP,71012,66.86,35199,33.14,106211,5.27
Hughes,124,NSW,ALP,52152,53.06,46143,46.94,98295,6.52
Hume,125,NSW,LP,41720,41.94,57747,58.06,99467,-1.19
Hunter,126,NSW,ALP,66424,59.48,45248,40.52,111672,4.7
Indi,218,VIC,LP,45836,43.34,59925,56.66,105761,-1.4
Isaacs,219,VIC,ALP,69604,64.34,38577,35.66,108181,4.83
Jagajaga,220,VIC,ALP,69858,62.88,41241,37.12,111099,0.67
Kennedy,167,QLD,LNP,39521,40.68,57641,59.32,97162,0.84
Kingsford Smith,127,NSW,ALP,66604,67.19,32528,32.81,99132,3.88
Kingston,186,SA,ALP,79721,70.74,32974,29.26,112695,4.39
Kooyong,221,VIC,LP,54709,47.63,60159,52.37,114868,1.37
La Trobe,223,VIC,LP,49674,47.94,53944,52.06,103618,6.37
Lalor,222,VIC,ALP,62761,63.21,36523,36.79,99284,0.42
Leichhardt,168,QLD,ALP,52967,56.06,41513,43.94,94480,9.5
Lilley,169,QLD,ALP,68030,64.52,37410,35.48,105440,3.98
Lindsay,128,NSW,LP,46342,47.22,51804,52.78,98146,3.33
Lingiari,306,NT,ALP,26524,58.13,19108,41.87,45632,6.53
Longman,302,QLD,LNP,60830,49.89,61099,50.11,121929,2.97
Lyne,130,NSW,NP,43981,40.22,65369,59.78,109350,4.02
Lyons,196,TAS,ALP,47316,61.58,29516,38.42,76832,10.66
Macarthur,131,NSW,ALP,61365,65.61,32171,34.39,93536,5.85
Mackellar,132,NSW,LP,51833,46.34,60014,53.66,111847,4.21
Macnamara,322,VIC,ALP,62004,61.8,38334,38.2,100338,-0.37
Macquarie,133,NSW,ALP,63306,57.71,46399,42.29,109705,1.38
Makin,187,SA,ALP,68633,64.66,37515,35.34,106148,3.86
Mallee,224,VIC,NP,32110,30.96,71597,69.04,103707,-0.05
Maranoa,170,QLD,LNP,25434,26.04,72253,73.96,97687,-1.84
Maribyrnong,225,VIC,ALP,69660,62.65,41537,37.35,111197,-0.38
Mayo,188,SA,ALP,68820,54.98,56362,45.02,125182,3.39
McEwen,226,VIC,ALP,57288,54.76,47328,45.24,104616,0.94
McMahon,315,NSW,ALP,57742,59.02,40093,40.98,97835,-1.46
McPherson,171,QLD,LNP,44295,45.56,52920,54.44,97215,4.9
Melbourne,228,VIC,ALP,72083,73.97,25365,26.03,97448,0.88
Menzies,229,VIC,ALP,55894,51.08,53536,48.92,109430,0.66
Mitchell,134,NSW,LP,50604,46.19,58949,53.81,109553,6.68
Monash,323,VIC,LP,47069,45.91,55451,54.09,102520,-1.19
Moncrieff,172,QLD,LNP,41335,41.2,58991,58.8,100326,2.39
Moore,242,WA,ALP,56502,52.89,50335,47.11,106837,3.8
Moreton,173,QLD,ALP,62014,66.09,31817,33.91,93831,7
New England,135,NSW,NP,37666,32.94,76680,67.06,114346,-1.85
Newcastle,136,NSW,ALP,76644,70.79,31622,29.21,108266,2.85
Nicholls,324,VIC,NP,37563,35.62,67887,64.38,105450,35.62
O'Connor,243,WA,LP,36759,36.72,63356,63.28,100115,-6.59
Oxley,174,QLD,ALP,72003,69.19,32059,30.81,104062,7.6
Page,138,NSW,NP,43806,40.71,63788,59.29,107594,1.36
Parkes,139,NSW,NP,38840,37.03,66047,62.97,104887,5.18
Parramatta,140,NSW,ALP,60790,62.55,36400,37.45,97190,8.83
Paterson,249,NSW,ALP,61841,56.89,46863,43.11,108704,4.29
Pearce,244,WA,ALP,55360,56.44,42733,43.56,98093,-2.4
Perth,245,WA,ALP,66350,66.51,33406,33.49,99756,2.09
Petrie,175,QLD,ALP,59761,51.17,57031,48.83,116792,5.61
Rankin,176,QLD,ALP,60092,65.55,31577,34.45,91669,6.46
Reid,144,NSW,ALP,62762,62.01,38455,37.99,101217,6.82
Richmond,145,NSW,ALP,62975,60,41977,40,104952,1.77
Riverina,250,NSW,NP,39561,37.38,66276,62.62,105837,-2.91
Robertson,146,NSW,ALP,60235,59.37,41228,40.63,101463,7.14
Ryan,177,QLD,ALP,59822,57.82,43640,42.18,103462,5.4
Scullin,232,VIC,ALP,62072,64.29,34473,35.71,96545,-1.14
Shortland,148,NSW,ALP,66494,61.51,41614,38.49,108108,5.51
Solomon,307,NT,ALP,30853,51.31,29277,48.69,60130,-7.09
Spence,325,SA,ALP,72903,65.34,38679,34.66,111582,2.44
Sturt,190,SA,ALP,66326,56.62,50811,43.38,117137,7.07
Swan,247,WA,ALP,62888,63.99,35392,36.01,98280,4.56
Sydney,149,NSW,ALP,83737,78.08,23512,21.92,107249,2.42
Tangney,248,WA,ALP,63253,56.99,47738,43.01,110991,4.14
Wannon,233,VIC,LP,42365,39.08,66038,60.92,108403,-2.27
Warringah,151,NSW,ALP,62634,54.51,52261,45.49,114895,5.25
Watson,251,NSW,ALP,60352,72.86,22482,27.14,82834,7.7
Wentworth,152,NSW,ALP,55829,50.56,54602,49.44,110431,1.72
Werriwa,153,NSW,ALP,49742,56.77,37872,43.23,87614,1.43
Whitlam,150,NSW,ALP,61486,56.25,47830,43.75,109316,-2.06
