2025 Federal Election House of Representatives Turnout By Division [Event:31496 Phase:FinalResults Generated:2025-06-16T10:38:38 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
DivisionID,DivisionNm,StateAb,Enrolment,Turnout,TurnoutPercentage,TurnoutSwing
210,Dunkley,VIC,124350,114733,92.27,3.34
312,Durack,WA,119942,93928,78.31,1.88
117,Eden-Monaro,NSW,121376,113896,93.84,0.95
159,Fadden,QLD,135733,118191,87.08,0.54
160,Fairfax,QLD,130658,117228,89.72,0.73
118,Farrer,NSW,123752,113297,91.55,2.11
102,Fenner,ACT,105428,97000,92.01,0.5
161,Fisher,QLD,139064,125270,90.08,1.01
211,Flinders,VIC,127540,119169,93.44,1.65
311,Flynn,QLD,117901,104513,88.64,0.57
162,Forde,QLD,134005,114968,85.79,0.56
239,Forrest,WA,117485,104922,89.31,4.3
119,Fowler,NSW,119951,108017,90.05,5.04
195,Franklin,TAS,83693,78802,94.16,0.75
321,Fraser,VIC,124191,111717,89.96,4.3
240,Fremantle,WA,118331,105894,89.49,3.84
212,Gellibrand,VIC,118962,108740,91.41,7.81
120,Gilmore,NSW,128995,119278,92.47,1.81
213,Gippsland,VIC,118075,108662,92.03,3.67
214,Goldstein,VIC,126139,118871,94.24,2.87
309,Gorton,VIC,129230,118640,91.81,11.46
121,Grayndler,NSW,125552,115641,92.11,2.59
122,Greenway,NSW,118906,110455,92.89,12.78
183,Grey,SA,128707,115075,89.41,-0.21
163,Griffith,QLD,123916,111666,90.11,0.66
164,Groom,QLD,119008,108495,91.17,0.29
305,Hasluck,WA,113257,99529,87.88,4.86
326,Hawke,VIC,118785,108248,91.13,7.84
165,Herbert,QLD,121280,103662,85.47,-0.46
185,Hindmarsh,SA,131379,120095,91.41,0.43
166,Hinkler,QLD,127702,114677,89.8,0.31
216,Holt,VIC,112953,103156,91.33,9.49
217,Hotham,VIC,118993,109903,92.36,2.59
124,Hughes,NSW,114887,107500,93.57,1.48
125,Hume,NSW,117449,109196,92.97,7.86
126,Hunter,NSW,132184,121454,91.88,4.29
218,Indi,VIC,120774,112040,92.77,3.79
219,Isaacs,VIC,120753,112139,92.87,3.76
220,Jagajaga,VIC,121269,114387,94.33,2.2
167,Kennedy,QLD,123696,103622,83.77,-0.82
127,Kingsford Smith,NSW,117399,105258,89.66,0.22
186,Kingston,SA,127919,117654,91.98,0.61
221,Kooyong,VIC,124480,117270,94.21,0.85
223,La Trobe,VIC,115425,107307,92.97,12.23
222,Lalor,VIC,114496,103404,90.31,11.87
168,Leichhardt,QLD,122757,101852,82.97,-1
169,Lilley,QLD,118593,107995,91.06,0.45
128,Lindsay,NSW,121306,110166,90.82,4.26
306,Lingiari,NT,76817,47789,62.21,1.79
302,Longman,QLD,142744,126927,88.92,0.75
130,Lyne,NSW,129584,120329,92.86,2.3
196,Lyons,TAS,88977,82547,92.77,0.87
131,Macarthur,NSW,115008,103724,90.19,7.03
132,Mackellar,NSW,129339,120741,93.35,1.66
322,Macnamara,VIC,114579,102584,89.53,3.12
133,Macquarie,NSW,121939,114463,93.87,1.78
187,Makin,SA,123639,113133,91.5,0.3
224,Mallee,VIC,121604,111247,91.48,3.82
170,Maranoa,QLD,115520,103293,89.42,1.03
225,Maribyrnong,VIC,123249,114295,92.74,3.97
188,Mayo,SA,137818,129785,94.17,0.49
226,McEwen,VIC,117921,110307,93.54,9.11
315,McMahon,NSW,120536,109416,90.77,6.13
171,McPherson,QLD,121545,106183,87.36,-0.2
228,Melbourne,VIC,113369,99875,88.1,0.05
229,Menzies,VIC,120989,113953,94.18,0.45
134,Mitchell,NSW,122997,115709,94.07,3.98
323,Monash,VIC,116463,108850,93.46,4.65
172,Moncrieff,QLD,125713,107688,85.66,0.63
242,Moore,WA,121758,112204,92.15,1.26
173,Moreton,QLD,109260,98063,89.75,0.89
135,New England,NSW,131238,120162,91.56,1.85
136,Newcastle,NSW,126226,116411,92.22,1.52
324,Nicholls,VIC,121390,111006,91.45,1.49
243,O'Connor,WA,122006,105764,86.69,1.91
174,Oxley,QLD,122449,108190,88.36,0.49
138,Page,NSW,129373,118739,91.78,1.33
139,Parkes,NSW,130841,116742,89.22,0.72
140,Parramatta,NSW,117501,106746,90.85,4.35
249,Paterson,NSW,127926,118661,92.76,4.39
244,Pearce,WA,115275,101187,87.78,5.43
245,Perth,WA,114458,102247,89.33,0.44
175,Petrie,QLD,134359,120538,89.71,1.25
176,Rankin,QLD,114950,97973,85.23,0.67
144,Reid,NSW,117810,107643,91.37,0.85
145,Richmond,NSW,126814,113552,89.54,3.24
250,Riverina,NSW,128537,119280,92.8,1.11
146,Robertson,NSW,114922,106339,92.53,1.58
177,Ryan,QLD,114860,106598,92.81,0.77
232,Scullin,VIC,114926,104506,90.93,5.77
148,Shortland,NSW,122971,114839,93.39,2.22
307,Solomon,NT,78702,62370,79.25,0.49
325,Spence,SA,138898,121550,87.51,0.94
190,Sturt,SA,130300,121186,93.01,0.63
247,Swan,WA,116105,101394,87.33,-0.05
149,Sydney,NSW,127445,111410,87.42,-2.46
248,Tangney,WA,122584,113615,92.68,0.56
233,Wannon,VIC,121788,114489,94.01,1.36
151,Warringah,NSW,130761,120415,92.09,1.81
251,Watson,NSW,116432,99817,85.73,2.41
152,Wentworth,NSW,127463,113537,89.07,0.5
153,Werriwa,NSW,117790,105888,89.9,7.39
150,Whitlam,NSW,130093,121225,93.18,4.12
178,Wide Bay,QLD,123153,109966,89.29,0.6
234,Wills,VIC,125264,114887,91.72,5.52
316,Wright,QLD,140286,124535,88.77,0.18
