STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2034066,47.24%,-0.07%
VIC,445335,10.34%,-0.12%
QLD,628777,14.60%,-0.08%
SA,550450,12.78%,0.47%
WA,467941,10.87%,-0.23%
TAS,146334,3.40%,-0.12%
NT,7968,0.19%,-0.26%
ACT,25197,0.59%,-0.33%
TOTAL,4306068,100.00%,-0.03%
