STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,31352,197642,236316,227633,176416,161688,1031047,37.15%
VIC,3557,42065,42030,41305,30388,26431,185776,8.72%
QLD,29937,95522,83228,56188,35021,24559,324455,18.91%
SA,26552,59052,57260,56786,46684,41539,287873,44.87%
WA,1403,34259,56639,54439,42392,37872,227004,25.39%
TAS,283,10101,16928,17586,14112,13893,72903,37.58%
NT,79,425,1017,905,602,280,3308,3.79%
ACT,307,1690,2768,2410,1845,1392,10412,7.47%
TOTAL,93470,440756,496186,457252,347460,307654,2142778,24.98%
