STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2015860,47.20%,-0.05%
VIC,439621,10.29%,-0.07%
QLD,622722,14.58%,-0.05%
SA,562042,13.16%,0.25%
WA,454461,10.64%,-0.15%
TAS,144180,3.38%,-0.07%
NT,7536,0.18%,-0.11%
ACT,24703,0.58%,-0.01%
TOTAL,4271125,100.00%,-0.03%
