STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,30714,202230,239381,221223,159156,132076,984780,34.25%
VIC,6168,61026,60409,53040,38501,30816,249960,11.33%
QLD,28610,86262,76764,52961,32848,20820,298265,17.14%
SA,24909,57649,57192,56275,43402,34503,273930,41.01%
WA,2517,37131,58097,54519,40397,33484,226145,25.86%
TAS,554,10864,17082,17859,13021,11897,71277,34.97%
NT,184,932,1311,987,589,225,4228,5.23%
ACT,585,3183,3705,3091,2153,1574,14291,10.01%
TOTAL,94241,459277,513941,459955,330067,265395,2122876,24.14%
