STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2035409,47.26%,-0.07%
VIC,445848,10.35%,-0.14%
QLD,629253,14.61%,-0.09%
SA,547889,12.72%,0.13%
WA,469003,10.89%,-0.26%
TAS,146508,3.40%,-0.12%
NT,7989,0.19%,-0.58%
ACT,25281,0.59%,-0.46%
TOTAL,4307180,100.00%,-0.08%
