year,state,sex,measure,value,unit,obs_status_flag
1971,Tasmania,Persons,Population,398073,PSNS,
1972,Tasmania,Persons,Population,400308,PSNS,
1973,Tasmania,Persons,Population,403087,PSNS,
1974,Tasmania,Persons,Population,406151,PSNS,
1975,Tasmania,Persons,Population,410088,PSNS,
1976,Tasmania,Persons,Population,412314,PSNS,
1977,Tasmania,Persons,Population,415032,PSNS,
1978,Tasmania,Persons,Population,417642,PSNS,
1979,Tasmania,Persons,Population,420756,PSNS,
1980,Tasmania,Persons,Population,423590,PSNS,
1981,Tasmania,Persons,Population,427224,PSNS,
1982,Tasmania,Persons,Population,429845,PSNS,
1983,Tasmania,Persons,Population,432805,PSNS,
1984,Tasmania,Persons,Population,437760,PSNS,
1985,Tasmania,Persons,Population,442828,PSNS,
1986,Tasmania,Persons,Population,446473,PSNS,
1987,Tasmania,Persons,Population,449226,PSNS,
1988,Tasmania,Persons,Population,451148,PSNS,
1989,Tasmania,Persons,Population,455258,PSNS,
1990,Tasmania,Persons,Population,462188,PSNS,
1991,Tasmania,Persons,Population,466802,PSNS,
1992,Tasmania,Persons,Population,469979,PSNS,
1993,Tasmania,Persons,Population,471987,PSNS,
1994,Tasmania,Persons,Population,473499,PSNS,
1995,Tasmania,Persons,Population,474515,PSNS,
1996,Tasmania,Persons,Population,475605,PSNS,
1997,Tasmania,Persons,Population,474908,PSNS,
1998,Tasmania,Persons,Population,473430,PSNS,
1999,Tasmania,Persons,Population,473030,PSNS,
2000,Tasmania,Persons,Population,473123,PSNS,
2001,Tasmania,Persons,Population,473668,PSNS,
2002,Tasmania,Persons,Population,474152,PSNS,
2003,Tasmania,Persons,Population,478534,PSNS,
2004,Tasmania,Persons,Population,483178,PSNS,
2005,Tasmania,Persons,Population,486202,PSNS,
2006,Tasmania,Persons,Population,489302,PSNS,
2007,Tasmania,Persons,Population,493262,PSNS,
2008,Tasmania,Persons,Population,498568,PSNS,
2009,Tasmania,Persons,Population,504353,PSNS,
2010,Tasmania,Persons,Population,508847,PSNS,
2011,Tasmania,Persons,Population,511483,PSNS,
2012,Tasmania,Persons,Population,511724,PSNS,
2013,Tasmania,Persons,Population,512231,PSNS,
2014,Tasmania,Persons,Population,513621,PSNS,
2015,Tasmania,Persons,Population,515117,PSNS,
2016,Tasmania,Persons,Population,517514,PSNS,
2017,Tasmania,Persons,Population,526762,PSNS,
2018,Tasmania,Persons,Population,537291,PSNS,
2019,Tasmania,Persons,Population,547841,PSNS,
2020,Tasmania,Persons,Population,557578,PSNS,
2021,Tasmania,Persons,Population,567239,PSNS,
2022,Tasmania,Persons,Population,571013,PSNS,
2023,Tasmania,Persons,Population,572780,PSNS,
2024,Tasmania,Persons,Population,575366,PSNS,
1971,New South Wales,Males,Population,2373784,PSNS,
1972,New South Wales,Males,Population,2407712,PSNS,
1973,New South Wales,Males,Population,2428527,PSNS,
1974,New South Wales,Males,Population,2452418,PSNS,
1975,New South Wales,Males,Population,2467784,PSNS,
1976,New South Wales,Males,Population,2476978,PSNS,
1977,New South Wales,Males,Population,2496098,PSNS,
1978,New South Wales,Males,Population,2519784,PSNS,
1979,New South Wales,Males,Population,2546874,PSNS,
1980,New South Wales,Males,Population,2576617,PSNS,
1981,New South Wales,Males,Population,2608351,PSNS,
1982,New South Wales,Males,Population,2643527,PSNS,
1983,New South Wales,Males,Population,2668049,PSNS,
1984,New South Wales,Males,Population,2692083,PSNS,
1985,New South Wales,Males,Population,2723253,PSNS,
1986,New South Wales,Males,Population,2756990,PSNS,
1987,New South Wales,Males,Population,2798066,PSNS,
1988,New South Wales,Males,Population,2842852,PSNS,
1989,New South Wales,Males,Population,2876807,PSNS,
1990,New South Wales,Males,Population,2905892,PSNS,
1991,New South Wales,Males,Population,2936262,PSNS,
1992,New South Wales,Males,Population,2964164,PSNS,
1993,New South Wales,Males,Population,2981014,PSNS,
1994,New South Wales,Males,Population,3004486,PSNS,
1995,New South Wales,Males,Population,3033790,PSNS,
1996,New South Wales,Males,Population,3066993,PSNS,
1997,New South Wales,Males,Population,3099735,PSNS,
1998,New South Wales,Males,Population,3128919,PSNS,
1999,New South Wales,Males,Population,3163238,PSNS,
2000,New South Wales,Males,Population,3199392,PSNS,
2001,New South Wales,Males,Population,3241835,PSNS,
2002,New South Wales,Males,Population,3265784,PSNS,
2003,New South Wales,Males,Population,3283709,PSNS,
2004,New South Wales,Males,Population,3297397,PSNS,
2005,New South Wales,Males,Population,3316494,PSNS,
2006,New South Wales,Males,Population,3339035,PSNS,
2007,New South Wales,Males,Population,3387138,PSNS,
2008,New South Wales,Males,Population,3445097,PSNS,
2009,New South Wales,Males,Population,3502936,PSNS,
2010,New South Wales,Males,Population,3548107,PSNS,
2011,New South Wales,Males,Population,3585109,PSNS,
2012,New South Wales,Males,Population,3626400,PSNS,
2013,New South Wales,Males,Population,3674410,PSNS,
2014,New South Wales,Males,Population,3724215,PSNS,
2015,New South Wales,Males,Population,3776574,PSNS,
2016,New South Wales,Males,Population,3833807,PSNS,
2017,New South Wales,Males,Population,3896830,PSNS,
2018,New South Wales,Males,Population,3950763,PSNS,
2019,New South Wales,Males,Population,3999452,PSNS,
2020,New South Wales,Males,Population,4030710,PSNS,
2021,New South Wales,Males,Population,4025393,PSNS,
2022,New South Wales,Males,Population,4059953,PSNS,
2023,New South Wales,Males,Population,4148089,PSNS,
2024,New South Wales,Males,Population,4220348,PSNS,
1971,New South Wales,Females,Median age - population,29.2,NUM,
1972,New South Wales,Females,Median age - population,29.2,NUM,
1973,New South Wales,Females,Median age - population,29.3,NUM,
1974,New South Wales,Females,Median age - population,29.4,NUM,
1975,New South Wales,Females,Median age - population,29.6,NUM,
1976,New South Wales,Females,Median age - population,29.9,NUM,
1977,New South Wales,Females,Median age - population,30.1,NUM,
1978,New South Wales,Females,Median age - population,30.4,NUM,
1979,New South Wales,Females,Median age - population,30.6,NUM,
1980,New South Wales,Females,Median age - population,30.8,NUM,
1981,New South Wales,Females,Median age - population,31,NUM,
1982,New South Wales,Females,Median age - population,31.3,NUM,
1983,New South Wales,Females,Median age - population,31.6,NUM,
1984,New South Wales,Females,Median age - population,31.9,NUM,
1985,New South Wales,Females,Median age - population,32.2,NUM,
1986,New South Wales,Females,Median age - population,32.5,NUM,
1987,New South Wales,Females,Median age - population,32.7,NUM,
1988,New South Wales,Females,Median age - population,32.8,NUM,
1989,New South Wales,Females,Median age - population,33.1,NUM,
1990,New South Wales,Females,Median age - population,33.4,NUM,
1991,New South Wales,Females,Median age - population,33.6,NUM,
1992,New South Wales,Females,Median age - population,33.9,NUM,
1993,New South Wales,Females,Median age - population,34.2,NUM,
1994,New South Wales,Females,Median age - population,34.5,NUM,
1995,New South Wales,Females,Median age - population,34.8,NUM,
1996,New South Wales,Females,Median age - population,35.1,NUM,
1997,New South Wales,Females,Median age - population,35.5,NUM,
1998,New South Wales,Females,Median age - population,35.8,NUM,
1999,New South Wales,Females,Median age - population,36.2,NUM,
2000,New South Wales,Females,Median age - population,36.4,NUM,
2001,New South Wales,Females,Median age - population,36.7,NUM,
2002,New South Wales,Females,Median age - population,36.9,NUM,
2003,New South Wales,Females,Median age - population,37.1,NUM,
2004,New South Wales,Females,Median age - population,37.3,NUM,
2005,New South Wales,Females,Median age - population,37.5,NUM,
2006,New South Wales,Females,Median age - population,37.6,NUM,
2007,New South Wales,Females,Median age - population,37.7,NUM,
2008,New South Wales,Females,Median age - population,37.8,NUM,
2009,New South Wales,Females,Median age - population,38,NUM,
2010,New South Wales,Females,Median age - population,38.2,NUM,
2011,New South Wales,Females,Median age - population,38.5,NUM,
2012,New South Wales,Females,Median age - population,38.6,NUM,
2013,New South Wales,Females,Median age - population,38.6,NUM,
2014,New South Wales,Females,Median age - population,38.7,NUM,
2015,New South Wales,Females,Median age - population,38.6,NUM,
2016,New South Wales,Females,Median age - population,38.5,NUM,
2017,New South Wales,Females,Median age - population,38.4,NUM,
2018,New South Wales,Females,Median age - population,38.5,NUM,
2019,New South Wales,Females,Median age - population,38.6,NUM,
2020,New South Wales,Females,Median age - population,39,NUM,
2021,New South Wales,Females,Median age - population,39.5,NUM,
2022,New South Wales,Females,Median age - population,39.6,NUM,
2023,New South Wales,Females,Median age - population,39.4,NUM,
2024,New South Wales,Females,Median age - population,39.4,NUM,
1971,Queensland,Persons,Births,39847,NUM,
1972,Queensland,Persons,Births,39025,NUM,
1973,Queensland,Persons,Births,37900,NUM,
1974,Queensland,Persons,Births,37770,NUM,
1975,Queensland,Persons,Births,36328,NUM,
1976,Queensland,Persons,Births,35268,NUM,
1977,Queensland,Persons,Births,34976,NUM,
1978,Queensland,Persons,Births,34530,NUM,
1979,Queensland,Persons,Births,35220,NUM,
1980,Queensland,Persons,Births,35001,NUM,
1981,Queensland,Persons,Births,38935,NUM,
1982,Queensland,Persons,Births,40599,NUM,
1983,Queensland,Persons,Births,42085,NUM,
1984,Queensland,Persons,Births,40446,NUM,
1985,Queensland,Persons,Births,40437,NUM,
1986,Queensland,Persons,Births,40371,NUM,
1987,Queensland,Persons,Births,39365,NUM,
1988,Queensland,Persons,Births,40561,NUM,
1989,Queensland,Persons,Births,42071,NUM,
1990,Queensland,Persons,Births,44868,NUM,
1991,Queensland,Persons,Births,44160,NUM,
1992,Queensland,Persons,Births,46240,NUM,
1993,Queensland,Persons,Births,46778,NUM,
1994,Queensland,Persons,Births,46578,NUM,
1995,Queensland,Persons,Births,46484,NUM,
1996,Queensland,Persons,Births,47769,NUM,
1997,Queensland,Persons,Births,46965,NUM,
1998,Queensland,Persons,Births,47046,NUM,
1999,Queensland,Persons,Births,46503,NUM,
2000,Queensland,Persons,Births,47278,NUM,
2001,Queensland,Persons,Births,47678,NUM,
2002,Queensland,Persons,Births,47771,NUM,
2003,Queensland,Persons,Births,48342,NUM,
2004,Queensland,Persons,Births,49940,NUM,
2005,Queensland,Persons,Births,51707,NUM,
2006,Queensland,Persons,Births,52695,NUM,
2007,Queensland,Persons,Births,61306,NUM,
2008,Queensland,Persons,Births,63168,NUM,
2009,Queensland,Persons,Births,66149,NUM,
2010,Queensland,Persons,Births,64523,NUM,
2011,Queensland,Persons,Births,63253,NUM,
2012,Queensland,Persons,Births,63837,NUM,
2013,Queensland,Persons,Births,63354,NUM,
2014,Queensland,Persons,Births,63066,NUM,
2015,Queensland,Persons,Births,61745,NUM,
2016,Queensland,Persons,Births,61841,NUM,
2017,Queensland,Persons,Births,61158,NUM,
2018,Queensland,Persons,Births,61931,NUM,
2019,Queensland,Persons,Births,61735,NUM,
2020,Queensland,Persons,Births,59490,NUM,
2021,Queensland,Persons,Births,64111,NUM,
2022,Queensland,Persons,Births,62094,NUM,
2023,Queensland,Persons,Births,58458,NUM,
2024,Queensland,Persons,Births,58838,NUM,
1974,Tasmania,Females,Births,3657,NUM,
1975,Tasmania,Females,Births,3390,NUM,
1976,Tasmania,Females,Births,3254,NUM,
1977,Tasmania,Females,Births,3285,NUM,
1978,Tasmania,Females,Births,3373,NUM,
1979,Tasmania,Females,Births,3351,NUM,
1980,Tasmania,Females,Births,3281,NUM,
1981,Tasmania,Females,Births,3556,NUM,
1982,Tasmania,Females,Births,3423,NUM,
1983,Tasmania,Females,Births,3411,NUM,
1984,Tasmania,Females,Births,3550,NUM,
1985,Tasmania,Females,Births,3588,NUM,
1986,Tasmania,Females,Births,3335,NUM,
1987,Tasmania,Females,Births,3307,NUM,
1988,Tasmania,Females,Births,3346,NUM,
1989,Tasmania,Females,Births,3307,NUM,
1990,Tasmania,Females,Births,3423,NUM,
1991,Tasmania,Females,Births,3416,NUM,
1992,Tasmania,Females,Births,3392,NUM,
1993,Tasmania,Females,Births,3312,NUM,
1994,Tasmania,Females,Births,3347,NUM,
1995,Tasmania,Females,Births,3180,NUM,
1996,Tasmania,Females,Births,3111,NUM,
1997,Tasmania,Females,Births,2909,NUM,
1998,Tasmania,Females,Births,2925,NUM,
1999,Tasmania,Females,Births,2976,NUM,
2000,Tasmania,Females,Births,2707,NUM,
2001,Tasmania,Females,Births,3054,NUM,
2002,Tasmania,Females,Births,2985,NUM,
2003,Tasmania,Females,Births,2770,NUM,
2004,Tasmania,Females,Births,2787,NUM,
2005,Tasmania,Females,Births,3080,NUM,
2006,Tasmania,Females,Births,3126,NUM,
2007,Tasmania,Females,Births,3270,NUM,
2008,Tasmania,Females,Births,3322,NUM,
2009,Tasmania,Females,Births,3235,NUM,
2010,Tasmania,Females,Births,3068,NUM,
2011,Tasmania,Females,Births,3203,NUM,
2012,Tasmania,Females,Births,3024,NUM,
2013,Tasmania,Females,Births,3014,NUM,
2014,Tasmania,Females,Births,2906,NUM,
2015,Tasmania,Females,Births,2748,NUM,
2016,Tasmania,Females,Births,2916,NUM,
2017,Tasmania,Females,Births,2767,NUM,
2018,Tasmania,Females,Births,2692,NUM,
2019,Tasmania,Females,Births,2768,NUM,
2020,Tasmania,Females,Births,2846,NUM,
2021,Tasmania,Females,Births,2920,NUM,
2022,Tasmania,Females,Births,2728,NUM,
2023,Tasmania,Females,Births,2729,NUM,
2024,Tasmania,Females,Births,2757,NUM,
1971,Australia,Persons,Crude death rates,8.5,NUM,
1972,Australia,Persons,Crude death rates,8.3,NUM,
1973,Australia,Persons,Crude death rates,8.2,NUM,
1974,Australia,Persons,Crude death rates,8.4,NUM,
1975,Australia,Persons,Crude death rates,7.8,NUM,
1976,Australia,Persons,Crude death rates,8,NUM,
1977,Australia,Persons,Crude death rates,7.7,NUM,
1978,Australia,Persons,Crude death rates,7.6,NUM,
1979,Australia,Persons,Crude death rates,7.3,NUM,
1980,Australia,Persons,Crude death rates,7.4,NUM,
1981,Australia,Persons,Crude death rates,7.3,NUM,
1982,Australia,Persons,Crude death rates,7.6,NUM,
1983,Australia,Persons,Crude death rates,7.2,NUM,
1984,Australia,Persons,Crude death rates,7.1,NUM,
1985,Australia,Persons,Crude death rates,7.5,NUM,
1986,Australia,Persons,Crude death rates,7.2,NUM,
1987,Australia,Persons,Crude death rates,7.2,NUM,
1988,Australia,Persons,Crude death rates,7.3,NUM,
1989,Australia,Persons,Crude death rates,7.4,NUM,
1990,Australia,Persons,Crude death rates,7,NUM,
1991,Australia,Persons,Crude death rates,6.9,NUM,
1992,Australia,Persons,Crude death rates,7.1,NUM,
1993,Australia,Persons,Crude death rates,6.9,NUM,
1994,Australia,Persons,Crude death rates,7.1,NUM,
1995,Australia,Persons,Crude death rates,6.9,NUM,
1996,Australia,Persons,Crude death rates,7.1,NUM,
1997,Australia,Persons,Crude death rates,7,NUM,
1998,Australia,Persons,Crude death rates,6.8,NUM,
1999,Australia,Persons,Crude death rates,6.8,NUM,
2000,Australia,Persons,Crude death rates,6.7,NUM,
2001,Australia,Persons,Crude death rates,6.7,NUM,
2002,Australia,Persons,Crude death rates,6.9,NUM,
2003,Australia,Persons,Crude death rates,6.7,NUM,
2004,Australia,Persons,Crude death rates,6.6,NUM,
2005,Australia,Persons,Crude death rates,6.5,NUM,
2006,Australia,Persons,Crude death rates,6.5,NUM,
2007,Australia,Persons,Crude death rates,6.6,NUM,
2008,Australia,Persons,Crude death rates,6.8,NUM,
2009,Australia,Persons,Crude death rates,6.5,NUM,
2010,Australia,Persons,Crude death rates,6.5,NUM,
2011,Australia,Persons,Crude death rates,6.6,NUM,
2012,Australia,Persons,Crude death rates,6.5,NUM,
2013,Australia,Persons,Crude death rates,6.4,NUM,
2014,Australia,Persons,Crude death rates,6.542,NUM,
2015,Australia,Persons,Crude death rates,6.678,NUM,
2016,Australia,Persons,Crude death rates,6.552,NUM,
2017,Australia,Persons,Crude death rates,6.543,NUM,
2018,Australia,Persons,Crude death rates,6.349,NUM,
2019,Australia,Persons,Crude death rates,6.683,NUM,
2020,Australia,Persons,Crude death rates,6.289,NUM,
2021,Australia,Persons,Crude death rates,6.676,NUM,
2022,Australia,Persons,Crude death rates,7.342,NUM,
2023,Australia,Persons,Crude death rates,6.875,NUM,
2024,Australia,Persons,Crude death rates,6.884,NUM,
1971,Northern Territory,Females,Crude death rates,6.6,NUM,
1972,Northern Territory,Females,Crude death rates,4.8,NUM,
1973,Northern Territory,Females,Crude death rates,4.6,NUM,
1974,Northern Territory,Females,Crude death rates,3.9,NUM,
1975,Northern Territory,Females,Crude death rates,5.4,NUM,
1976,Northern Territory,Females,Crude death rates,4.4,NUM,
1977,Northern Territory,Females,Crude death rates,5.5,NUM,
1978,Northern Territory,Females,Crude death rates,3.8,NUM,
1979,Northern Territory,Females,Crude death rates,3.9,NUM,
1980,Northern Territory,Females,Crude death rates,3.1,NUM,
1981,Northern Territory,Females,Crude death rates,4.7,NUM,
1982,Northern Territory,Females,Crude death rates,3.2,NUM,
1983,Northern Territory,Females,Crude death rates,4.2,NUM,
1984,Northern Territory,Females,Crude death rates,3.4,NUM,
1985,Northern Territory,Females,Crude death rates,3.4,NUM,
1986,Northern Territory,Females,Crude death rates,3.2,NUM,
1987,Northern Territory,Females,Crude death rates,3,NUM,
1988,Northern Territory,Females,Crude death rates,4.3,NUM,
1989,Northern Territory,Females,Crude death rates,3.7,NUM,
1990,Northern Territory,Females,Crude death rates,3.4,NUM,
1991,Northern Territory,Females,Crude death rates,3.9,NUM,
1992,Northern Territory,Females,Crude death rates,3.7,NUM,
1993,Northern Territory,Females,Crude death rates,3.6,NUM,
1994,Northern Territory,Females,Crude death rates,3.5,NUM,
1995,Northern Territory,Females,Crude death rates,3.4,NUM,
1996,Northern Territory,Females,Crude death rates,3.1,NUM,
1997,Northern Territory,Females,Crude death rates,4,NUM,
1998,Northern Territory,Females,Crude death rates,3.8,NUM,
1999,Northern Territory,Females,Crude death rates,3.5,NUM,
2000,Northern Territory,Females,Crude death rates,3.6,NUM,
2001,Northern Territory,Females,Crude death rates,3.3,NUM,
2002,Northern Territory,Females,Crude death rates,3.6,NUM,
2003,Northern Territory,Females,Crude death rates,3.4,NUM,
2004,Northern Territory,Females,Crude death rates,3.4,NUM,
2005,Northern Territory,Females,Crude death rates,3.6,NUM,
2006,Northern Territory,Females,Crude death rates,3.5,NUM,
2007,Northern Territory,Females,Crude death rates,3.6,NUM,
2008,Northern Territory,Females,Crude death rates,4,NUM,
2009,Northern Territory,Females,Crude death rates,3.3,NUM,
2010,Northern Territory,Females,Crude death rates,3.3,NUM,
2011,Northern Territory,Females,Crude death rates,3.7,NUM,
2012,Northern Territory,Females,Crude death rates,3.4,NUM,
2013,Northern Territory,Females,Crude death rates,4,NUM,
2014,Northern Territory,Females,Crude death rates,4.265,NUM,
2015,Northern Territory,Females,Crude death rates,4.008,NUM,
2016,Northern Territory,Females,Crude death rates,3.686,NUM,
2017,Northern Territory,Females,Crude death rates,3.897,NUM,
2018,Northern Territory,Females,Crude death rates,3.929,NUM,
2019,Northern Territory,Females,Crude death rates,3.675,NUM,
2020,Northern Territory,Females,Crude death rates,4.044,NUM,
2021,Northern Territory,Females,Crude death rates,3.91,NUM,
2022,Northern Territory,Females,Crude death rates,4.653,NUM,
2023,Northern Territory,Females,Crude death rates,4.462,NUM,
2024,Northern Territory,Females,Crude death rates,3.959,NUM,
1971,Victoria,Persons,Infant deaths,1097,NUM,
1972,Victoria,Persons,Infant deaths,1038,NUM,
1973,Victoria,Persons,Infant deaths,954,NUM,
1974,Victoria,Persons,Infant deaths,986,NUM,
1975,Victoria,Persons,Infant deaths,804,NUM,
1976,Victoria,Persons,Infant deaths,687,NUM,
1977,Victoria,Persons,Infant deaths,648,NUM,
1978,Victoria,Persons,Infant deaths,610,NUM,
1979,Victoria,Persons,Infant deaths,632,NUM,
1980,Victoria,Persons,Infant deaths,582,NUM,
1981,Victoria,Persons,Infant deaths,554,NUM,
1982,Victoria,Persons,Infant deaths,623,NUM,
1983,Victoria,Persons,Infant deaths,543,NUM,
1984,Victoria,Persons,Infant deaths,525,NUM,
1985,Victoria,Persons,Infant deaths,601,NUM,
1986,Victoria,Persons,Infant deaths,517,NUM,
1987,Victoria,Persons,Infant deaths,498,NUM,
1988,Victoria,Persons,Infant deaths,486,NUM,
1989,Victoria,Persons,Infant deaths,414,NUM,
1990,Victoria,Persons,Infant deaths,523,NUM,
1991,Victoria,Persons,Infant deaths,428,NUM,
1992,Victoria,Persons,Infant deaths,366,NUM,
1993,Victoria,Persons,Infant deaths,347,NUM,
1994,Victoria,Persons,Infant deaths,327,NUM,
1995,Victoria,Persons,Infant deaths,308,NUM,
1996,Victoria,Persons,Infant deaths,308,NUM,
1997,Victoria,Persons,Infant deaths,300,NUM,
1998,Victoria,Persons,Infant deaths,283,NUM,
1999,Victoria,Persons,Infant deaths,331,NUM,
2000,Victoria,Persons,Infant deaths,268,NUM,
2001,Victoria,Persons,Infant deaths,284,NUM,
2002,Victoria,Persons,Infant deaths,305,NUM,
2003,Victoria,Persons,Infant deaths,309,NUM,
2004,Victoria,Persons,Infant deaths,282,NUM,
2005,Victoria,Persons,Infant deaths,321,NUM,
2006,Victoria,Persons,Infant deaths,283,NUM,
2007,Victoria,Persons,Infant deaths,270,NUM,
2008,Victoria,Persons,Infant deaths,264,NUM,
2009,Victoria,Persons,Infant deaths,278,NUM,
2010,Victoria,Persons,Infant deaths,230,NUM,
2011,Victoria,Persons,Infant deaths,251,NUM,
2012,Victoria,Persons,Infant deaths,219,NUM,
2013,Victoria,Persons,Infant deaths,216,NUM,
2014,Victoria,Persons,Infant deaths,209,NUM,
2015,Victoria,Persons,Infant deaths,177,NUM,
2016,Victoria,Persons,Infant deaths,220,NUM,
2017,Victoria,Persons,Infant deaths,263,NUM,
2018,Victoria,Persons,Infant deaths,258,NUM,
2019,Victoria,Persons,Infant deaths,235,NUM,
2020,Victoria,Persons,Infant deaths,212,NUM,
2021,Victoria,Persons,Infant deaths,246,NUM,
2022,Victoria,Persons,Infant deaths,206,NUM,
2023,Victoria,Persons,Infant deaths,192,NUM,
2024,Victoria,Persons,Infant deaths,233,NUM,
1971,Tasmania,Persons,Infant deaths,115,NUM,
1972,Tasmania,Persons,Infant deaths,129,NUM,
1973,Tasmania,Persons,Infant deaths,139,NUM,
1974,Tasmania,Persons,Infant deaths,133,NUM,
1975,Tasmania,Persons,Infant deaths,132,NUM,
1976,Tasmania,Persons,Infant deaths,79,NUM,
1977,Tasmania,Persons,Infant deaths,101,NUM,
1978,Tasmania,Persons,Infant deaths,102,NUM,
1979,Tasmania,Persons,Infant deaths,99,NUM,
1980,Tasmania,Persons,Infant deaths,87,NUM,
1981,Tasmania,Persons,Infant deaths,89,NUM,
1982,Tasmania,Persons,Infant deaths,59,NUM,
1983,Tasmania,Persons,Infant deaths,80,NUM,
1984,Tasmania,Persons,Infant deaths,84,NUM,
1985,Tasmania,Persons,Infant deaths,93,NUM,
1986,Tasmania,Persons,Infant deaths,79,NUM,
1987,Tasmania,Persons,Infant deaths,68,NUM,
1988,Tasmania,Persons,Infant deaths,65,NUM,
1989,Tasmania,Persons,Infant deaths,72,NUM,
1990,Tasmania,Persons,Infant deaths,63,NUM,
1991,Tasmania,Persons,Infant deaths,62,NUM,
1992,Tasmania,Persons,Infant deaths,46,NUM,
1993,Tasmania,Persons,Infant deaths,40,NUM,
1994,Tasmania,Persons,Infant deaths,51,NUM,
1995,Tasmania,Persons,Infant deaths,38,NUM,
1996,Tasmania,Persons,Infant deaths,29,NUM,
1997,Tasmania,Persons,Infant deaths,39,NUM,
1998,Tasmania,Persons,Infant deaths,34,NUM,
1999,Tasmania,Persons,Infant deaths,46,NUM,
2000,Tasmania,Persons,Infant deaths,33,NUM,
2001,Tasmania,Persons,Infant deaths,40,NUM,
2002,Tasmania,Persons,Infant deaths,37,NUM,
2003,Tasmania,Persons,Infant deaths,40,NUM,
2004,Tasmania,Persons,Infant deaths,21,NUM,
2005,Tasmania,Persons,Infant deaths,22,NUM,
2006,Tasmania,Persons,Infant deaths,25,NUM,
2007,Tasmania,Persons,Infant deaths,28,NUM,
2008,Tasmania,Persons,Infant deaths,26,NUM,
2009,Tasmania,Persons,Infant deaths,24,NUM,
2010,Tasmania,Persons,Infant deaths,26,NUM,
2011,Tasmania,Persons,Infant deaths,30,NUM,
2012,Tasmania,Persons,Infant deaths,22,NUM,
2013,Tasmania,Persons,Infant deaths,22,NUM,
2014,Tasmania,Persons,Infant deaths,31,NUM,
2015,Tasmania,Persons,Infant deaths,21,NUM,
2016,Tasmania,Persons,Infant deaths,27,NUM,
2017,Tasmania,Persons,Infant deaths,21,NUM,
2018,Tasmania,Persons,Infant deaths,19,NUM,
2019,Tasmania,Persons,Infant deaths,20,NUM,
2020,Tasmania,Persons,Infant deaths,20,NUM,
2021,Tasmania,Persons,Infant deaths,25,NUM,
2022,Tasmania,Persons,Infant deaths,17,NUM,
2023,Tasmania,Persons,Infant deaths,20,NUM,
2024,Tasmania,Persons,Infant deaths,27,NUM,
1971,New South Wales,Males,Infant deaths,990,NUM,
1972,New South Wales,Males,Infant deaths,993,NUM,
1973,New South Wales,Males,Infant deaths,879,NUM,
1974,New South Wales,Males,Infant deaths,856,NUM,
1975,New South Wales,Males,Infant deaths,754,NUM,
1976,New South Wales,Males,Infant deaths,686,NUM,
1977,New South Wales,Males,Infant deaths,546,NUM,
1978,New South Wales,Males,Infant deaths,602,NUM,
1979,New South Wales,Males,Infant deaths,521,NUM,
1980,New South Wales,Males,Infant deaths,528,NUM,
1981,New South Wales,Males,Infant deaths,496,NUM,
1982,New South Wales,Males,Infant deaths,485,NUM,
1983,New South Wales,Males,Infant deaths,459,NUM,
1984,New South Wales,Males,Infant deaths,428,NUM,
1985,New South Wales,Males,Infant deaths,496,NUM,
1986,New South Wales,Males,Infant deaths,436,NUM,
1987,New South Wales,Males,Infant deaths,407,NUM,
1988,New South Wales,Males,Infant deaths,439,NUM,
1989,New South Wales,Males,Infant deaths,436,NUM,
1990,New South Wales,Males,Infant deaths,425,NUM,
1991,New South Wales,Males,Infant deaths,354,NUM,
1992,New South Wales,Males,Infant deaths,408,NUM,
1993,New South Wales,Males,Infant deaths,318,NUM,
1994,New South Wales,Males,Infant deaths,312,NUM,
1995,New South Wales,Males,Infant deaths,272,NUM,
1996,New South Wales,Males,Infant deaths,287,NUM,
1997,New South Wales,Males,Infant deaths,242,NUM,
1998,New South Wales,Males,Infant deaths,205,NUM,
1999,New South Wales,Males,Infant deaths,281,NUM,
2000,New South Wales,Males,Infant deaths,260,NUM,
2001,New South Wales,Males,Infant deaths,251,NUM,
2002,New South Wales,Males,Infant deaths,214,NUM,
2003,New South Wales,Males,Infant deaths,213,NUM,
2004,New South Wales,Males,Infant deaths,218,NUM,
2005,New South Wales,Males,Infant deaths,242,NUM,
2006,New South Wales,Males,Infant deaths,257,NUM,
2007,New South Wales,Males,Infant deaths,212,NUM,
2008,New South Wales,Males,Infant deaths,241,NUM,
2009,New South Wales,Males,Infant deaths,218,NUM,
2010,New South Wales,Males,Infant deaths,231,NUM,
2011,New South Wales,Males,Infant deaths,210,NUM,
2012,New South Wales,Males,Infant deaths,180,NUM,
2013,New South Wales,Males,Infant deaths,208,NUM,
2014,New South Wales,Males,Infant deaths,171,NUM,
2015,New South Wales,Males,Infant deaths,185,NUM,
2016,New South Wales,Males,Infant deaths,138,NUM,
2017,New South Wales,Males,Infant deaths,162,NUM,
2018,New South Wales,Males,Infant deaths,159,NUM,
2019,New South Wales,Males,Infant deaths,191,NUM,
2020,New South Wales,Males,Infant deaths,156,NUM,
2021,New South Wales,Males,Infant deaths,196,NUM,
2022,New South Wales,Males,Infant deaths,139,NUM,
2023,New South Wales,Males,Infant deaths,138,NUM,
2024,New South Wales,Males,Infant deaths,125,NUM,
1974,Tasmania,Males,Infant mortality rates,19.6,NUM,
1975,Tasmania,Males,Infant mortality rates,20.4,NUM,
1976,Tasmania,Males,Infant mortality rates,13.2,NUM,
1977,Tasmania,Males,Infant mortality rates,16.7,NUM,
