section,indicator,unit,year,value
Male marriages registered by age,60–64,no.,2023,2664
Male marriages registered by age,60–64,no.,2024,2729
Male marriages registered by age,65–69,no.,2020,962
Male marriages registered by age,65–69,no.,2021,903
Male marriages registered by age,65–69,no.,2022,1421
Male marriages registered by age,65–69,no.,2023,1533
Male marriages registered by age,65–69,no.,2024,1522
Male marriages registered by age,70–74,no.,2020,642
Male marriages registered by age,70–74,no.,2021,549
Male marriages registered by age,70–74,no.,2022,843
Male marriages registered by age,70–74,no.,2023,817
Male marriages registered by age,70–74,no.,2024,817
Male marriages registered by age,75 and over,no.,2020,456
Male marriages registered by age,75 and over,no.,2021,441
Male marriages registered by age,75 and over,no.,2022,604
Male marriages registered by age,75 and over,no.,2023,700
Male marriages registered by age,75 and over,no.,2024,742
Male marriages registered by age,Total,no.,2020,78274
Male marriages registered by age,Total,no.,2021,88383
Male marriages registered by age,Total,no.,2022,125968
Male marriages registered by age,Total,no.,2023,117187
Male marriages registered by age,Total,no.,2024,119423
Male age-specific marriage rates,16–19,rate,2020,0.4
Male age-specific marriage rates,16–19,rate,2021,0.3
Male age-specific marriage rates,16–19,rate,2022,0.3
Male age-specific marriage rates,16–19,rate,2023,0.3
Male age-specific marriage rates,16–19,rate,2024,0.4
Male age-specific marriage rates,20–24,rate,2020,7.7
Male age-specific marriage rates,20–24,rate,2021,7.7
Male age-specific marriage rates,20–24,rate,2022,9.3
Male age-specific marriage rates,20–24,rate,2023,8.1
Male age-specific marriage rates,20–24,rate,2024,8.3
Male age-specific marriage rates,25–29,rate,2020,22.8
Male age-specific marriage rates,25–29,rate,2021,27.5
Male age-specific marriage rates,25–29,rate,2022,36.9
Male age-specific marriage rates,25–29,rate,2023,31.2
Male age-specific marriage rates,25–29,rate,2024,31
Male age-specific marriage rates,30–34,rate,2020,21.5
Male age-specific marriage rates,30–34,rate,2021,26.7
Male age-specific marriage rates,30–34,rate,2022,39
Male age-specific marriage rates,30–34,rate,2023,33.9
Male age-specific marriage rates,30–34,rate,2024,33.2
Male age-specific marriage rates,35–39,rate,2020,11.4
Male age-specific marriage rates,35–39,rate,2021,12.9
Male age-specific marriage rates,35–39,rate,2022,19
Male age-specific marriage rates,35–39,rate,2023,17.7
Male age-specific marriage rates,35–39,rate,2024,17.6
Male age-specific marriage rates,40–44,rate,2020,6.6
Male age-specific marriage rates,40–44,rate,2021,6.9
Male age-specific marriage rates,40–44,rate,2022,10.4
Male age-specific marriage rates,40–44,rate,2023,9.9
Male age-specific marriage rates,40–44,rate,2024,9.8
Male age-specific marriage rates,45–49,rate,2020,5.1
Male age-specific marriage rates,45–49,rate,2021,5.1
Male age-specific marriage rates,45–49,rate,2022,7.5
Male age-specific marriage rates,45–49,rate,2023,7.3
Male age-specific marriage rates,45–49,rate,2024,7
Male age-specific marriage rates,50–54,rate,2020,4.1
Male age-specific marriage rates,50–54,rate,2021,4.4
Male age-specific marriage rates,50–54,rate,2022,6.3
Male age-specific marriage rates,50–54,rate,2023,6.1
Male age-specific marriage rates,50–54,rate,2024,6
Male age-specific marriage rates,55–59,rate,2020,3.3
Male age-specific marriage rates,55–59,rate,2021,3.4
Male age-specific marriage rates,55–59,rate,2022,4.8
Male age-specific marriage rates,55–59,rate,2023,4.9
Male age-specific marriage rates,55–59,rate,2024,4.9
Male age-specific marriage rates,60–64,rate,2020,2.3
Male age-specific marriage rates,60–64,rate,2021,2.4
Male age-specific marriage rates,60–64,rate,2022,3.6
Male age-specific marriage rates,60–64,rate,2023,3.6
Male age-specific marriage rates,60–64,rate,2024,3.7
Male age-specific marriage rates,65–69,rate,2020,1.6
Male age-specific marriage rates,65–69,rate,2021,1.5
Male age-specific marriage rates,65–69,rate,2022,2.3
Male age-specific marriage rates,65–69,rate,2023,2.4
Male age-specific marriage rates,65–69,rate,2024,2.3
Male age-specific marriage rates,70–74,rate,2020,1.2
Male age-specific marriage rates,70–74,rate,2021,1
Male age-specific marriage rates,70–74,rate,2022,1.5
Male age-specific marriage rates,70–74,rate,2023,1.5
Male age-specific marriage rates,70–74,rate,2024,1.5
