year,state,measure,value,unit,obs_status_flag
1975,New South Wales,Births,81172,NUM,
1976,New South Wales,Births,78749,NUM,
1977,New South Wales,Births,78302,NUM,
1978,New South Wales,Births,78052,NUM,
1979,New South Wales,Births,77469,NUM,
1980,New South Wales,Births,79801,NUM,
1981,New South Wales,Births,81971,NUM,
1982,New South Wales,Births,83908,NUM,
1983,New South Wales,Births,83307,NUM,
1984,New South Wales,Births,77994,NUM,
1985,New South Wales,Births,87786,NUM,
1986,New South Wales,Births,84531,NUM,
1987,New South Wales,Births,86093,NUM,
1988,New South Wales,Births,84647,NUM,
1989,New South Wales,Births,85790,NUM,
1990,New South Wales,Births,90534,NUM,
1991,New South Wales,Births,87367,NUM,
1992,New South Wales,Births,92585,NUM,
1993,New South Wales,Births,89354,NUM,
1994,New South Wales,Births,87977,NUM,
1995,New South Wales,Births,87849,NUM,
1996,New South Wales,Births,86595,NUM,
1997,New South Wales,Births,87156,NUM,
1998,New South Wales,Births,85499,NUM,
1999,New South Wales,Births,86784,NUM,
2000,New South Wales,Births,86752,NUM,
2001,New South Wales,Births,84578,NUM,
2002,New South Wales,Births,86583,NUM,
2003,New South Wales,Births,86344,NUM,
2004,New South Wales,Births,85894,NUM,
2005,New South Wales,Births,91224,NUM,
2006,New South Wales,Births,92188,NUM,
2007,New South Wales,Births,96351,NUM,
2008,New South Wales,Births,100276,NUM,
2009,New South Wales,Births,98231,NUM,
2010,New South Wales,Births,101266,NUM,
2011,New South Wales,Births,99054,NUM,
2012,New South Wales,Births,98508,NUM,
2013,New South Wales,Births,100462,NUM,
2014,New South Wales,Births,91074,NUM,
2015,New South Wales,Births,100079,NUM,
2016,New South Wales,Births,96083,NUM,
2017,New South Wales,Births,96591,NUM,
2018,New South Wales,Births,107343,NUM,
2019,New South Wales,Births,98906,NUM,
2020,New South Wales,Births,95459,NUM,
2021,New South Wales,Births,101332,NUM,
2022,New South Wales,Births,97884,NUM,
2023,New South Wales,Births,91947,NUM,
2024,New South Wales,Births,89030,NUM,
1975,South Australia,Crude birth rate,15.7,NUM,
1976,South Australia,Crude birth rate,14.8,NUM,
1977,South Australia,Crude birth rate,14.9,NUM,
1978,South Australia,Crude birth rate,14.3,NUM,
1979,South Australia,Crude birth rate,14.2,NUM,
1980,South Australia,Crude birth rate,14.1,NUM,
1981,South Australia,Crude birth rate,14.6,NUM,
1982,South Australia,Crude birth rate,14.4,NUM,
1983,South Australia,Crude birth rate,14.7,NUM,
1984,South Australia,Crude birth rate,14.7,NUM,
1985,South Australia,Crude birth rate,14.4,NUM,
1986,South Australia,Crude birth rate,14.3,NUM,
1987,South Australia,Crude birth rate,13.8,NUM,
1988,South Australia,Crude birth rate,13.6,NUM,
1989,South Australia,Crude birth rate,13.8,NUM,
1990,South Australia,Crude birth rate,13.9,NUM,
1991,South Australia,Crude birth rate,13.6,NUM,
1992,South Australia,Crude birth rate,13.3,NUM,
1993,South Australia,Crude birth rate,13.8,NUM,
1994,South Australia,Crude birth rate,13.3,NUM,
1995,South Australia,Crude birth rate,13.2,NUM,
1996,South Australia,Crude birth rate,13,NUM,
1997,South Australia,Crude birth rate,12.4,NUM,
1998,South Australia,Crude birth rate,12.3,NUM,
1999,South Australia,Crude birth rate,12,NUM,
2000,South Australia,Crude birth rate,11.9,NUM,
2001,South Australia,Crude birth rate,11.5,NUM,
2002,South Australia,Crude birth rate,11.7,NUM,
2003,South Australia,Crude birth rate,11.5,NUM,
2004,South Australia,Crude birth rate,11.2,NUM,
2005,South Australia,Crude birth rate,11.6,NUM,
2006,South Australia,Crude birth rate,11.8,NUM,
2007,South Australia,Crude birth rate,12.5,NUM,
2008,South Australia,Crude birth rate,12.7,NUM,
2009,South Australia,Crude birth rate,12.3,NUM,
2010,South Australia,Crude birth rate,12.3,NUM,
2011,South Australia,Crude birth rate,12.1,NUM,
2012,South Australia,Crude birth rate,12.3,NUM,
2013,South Australia,Crude birth rate,12,NUM,
2014,South Australia,Crude birth rate,12.1,NUM,
2015,South Australia,Crude birth rate,11.5,NUM,
2016,South Australia,Crude birth rate,11.5,NUM,
2017,South Australia,Crude birth rate,11,NUM,
2018,South Australia,Crude birth rate,10.9,NUM,
2019,South Australia,Crude birth rate,11,NUM,
2020,South Australia,Crude birth rate,10.3,NUM,
2021,South Australia,Crude birth rate,11,NUM,
2022,South Australia,Crude birth rate,10.7,NUM,
2023,South Australia,Crude birth rate,10,NUM,
2024,South Australia,Crude birth rate,9.8,NUM,
1975,Western Australia,Nuptial births,17835,NUM,
1976,Western Australia,Nuptial births,18073,NUM,
1977,Western Australia,Nuptial births,18149,NUM,
1978,Western Australia,Nuptial births,17991,NUM,
1979,Western Australia,Nuptial births,17723,NUM,
1980,Western Australia,Nuptial births,17796,NUM,
1981,Western Australia,Nuptial births,18596,NUM,
1982,Western Australia,Nuptial births,18939,NUM,
1983,Western Australia,Nuptial births,19440,NUM,
1984,Western Australia,Nuptial births,18136,NUM,
1985,Western Australia,Nuptial births,19223,NUM,
1986,Western Australia,Nuptial births,19755,NUM,
1987,Western Australia,Nuptial births,18709,NUM,
1988,Western Australia,Nuptial births,19829,NUM,
1989,Western Australia,Nuptial births,19636,NUM,
1990,Western Australia,Nuptial births,19379,NUM,
1991,Western Australia,Nuptial births,18995,NUM,
1992,Western Australia,Nuptial births,18400,NUM,
1993,Western Australia,Nuptial births,18090,NUM,
1994,Western Australia,Nuptial births,17918,NUM,
1995,Western Australia,Nuptial births,17664,NUM,
1996,Western Australia,Nuptial births,17128,NUM,
1997,Western Australia,Nuptial births,17134,NUM,
1998,Western Australia,Nuptial births,16861,NUM,
1999,Western Australia,Nuptial births,16458,NUM,
2000,Western Australia,Nuptial births,16561,NUM,
2001,Western Australia,Nuptial births,15700,NUM,
2002,Western Australia,Nuptial births,15325,NUM,
2003,Western Australia,Nuptial births,15511,NUM,
2004,Western Australia,Nuptial births,15868,NUM,
2005,Western Australia,Nuptial births,16600,NUM,
2006,Western Australia,Nuptial births,17383,NUM,
2007,Western Australia,Nuptial births,18032,NUM,
2008,Western Australia,Nuptial births,19713,NUM,
2009,Western Australia,Nuptial births,19040,NUM,
2010,Western Australia,Nuptial births,19640,NUM,
2011,Western Australia,Nuptial births,20122,NUM,
2012,Western Australia,Nuptial births,21021,NUM,
2013,Western Australia,Nuptial births,21625,NUM,
2014,Western Australia,Nuptial births,22266,NUM,
2015,Western Australia,Nuptial births,21911,NUM,
2016,Western Australia,Nuptial births,22285,NUM,
2017,Western Australia,Nuptial births,21462,NUM,
2018,Western Australia,Nuptial births,20742,NUM,
2019,Western Australia,Nuptial births,20460,NUM,
2020,Western Australia,Nuptial births,19235,NUM,
2021,Western Australia,Nuptial births,19882,NUM,
2022,Western Australia,Nuptial births,17919,NUM,
2023,Western Australia,Nuptial births,18136,NUM,
2024,Western Australia,Nuptial births,17377,NUM,
1975,Australia,Ex-nuptial births,23705,NUM,
1976,Australia,Ex-nuptial births,23064,NUM,
1977,Australia,Ex-nuptial births,23314,NUM,
1978,Australia,Ex-nuptial births,24744,NUM,
1979,Australia,Ex-nuptial births,26110,NUM,
1980,Australia,Ex-nuptial births,28076,NUM,
1981,Australia,Ex-nuptial births,31200,NUM,
1982,Australia,Ex-nuptial births,32958,NUM,
1983,Australia,Ex-nuptial births,35646,NUM,
1984,Australia,Ex-nuptial births,34629,NUM,
1985,Australia,Ex-nuptial births,38275,NUM,
1986,Australia,Ex-nuptial births,40950,NUM,
1987,Australia,Ex-nuptial births,43806,NUM,
1988,Australia,Ex-nuptial births,46768,NUM,
1989,Australia,Ex-nuptial births,50788,NUM,
1990,Australia,Ex-nuptial births,57407,NUM,
1991,Australia,Ex-nuptial births,59223,NUM,
1992,Australia,Ex-nuptial births,63368,NUM,
1993,Australia,Ex-nuptial births,64874,NUM,
1994,Australia,Ex-nuptial births,66092,NUM,
1995,Australia,Ex-nuptial births,68050,NUM,
1996,Australia,Ex-nuptial births,69568,NUM,
1997,Australia,Ex-nuptial births,70738,NUM,
1998,Australia,Ex-nuptial births,71570,NUM,
1999,Australia,Ex-nuptial births,72691,NUM,
2000,Australia,Ex-nuptial births,73011,NUM,
2001,Australia,Ex-nuptial births,75719,NUM,
2002,Australia,Ex-nuptial births,78438,NUM,
2003,Australia,Ex-nuptial births,79308,NUM,
2004,Australia,Ex-nuptial births,81765,NUM,
2005,Australia,Ex-nuptial births,86283,NUM,
2006,Australia,Ex-nuptial births,89694,NUM,
2007,Australia,Ex-nuptial births,99170,NUM,
2008,Australia,Ex-nuptial births,105387,NUM,
2009,Australia,Ex-nuptial births,105619,NUM,
2010,Australia,Ex-nuptial births,104484,NUM,
2011,Australia,Ex-nuptial births,103098,NUM,
2012,Australia,Ex-nuptial births,106835,NUM,
2013,Australia,Ex-nuptial births,106019,NUM,
2014,Australia,Ex-nuptial births,102999,NUM,
2015,Australia,Ex-nuptial births,105275,NUM,
2016,Australia,Ex-nuptial births,105628,NUM,
2017,Australia,Ex-nuptial births,107660,NUM,
2018,Australia,Ex-nuptial births,111302,NUM,
2019,Australia,Ex-nuptial births,108786,NUM,
2020,Australia,Ex-nuptial births,107570,NUM,
2021,Australia,Ex-nuptial births,118788,NUM,
2022,Australia,Ex-nuptial births,120130,NUM,
2023,Australia,Ex-nuptial births,114424,NUM,
2024,Australia,Ex-nuptial births,114649,NUM,
1975,Queensland,"Ex-nuptial, paternity not acknowledged births",2590,NUM,
1976,Queensland,"Ex-nuptial, paternity not acknowledged births",2315,NUM,
1977,Queensland,"Ex-nuptial, paternity not acknowledged births",2305,NUM,
1978,Queensland,"Ex-nuptial, paternity not acknowledged births",2435,NUM,
1979,Queensland,"Ex-nuptial, paternity not acknowledged births",2439,NUM,
1980,Queensland,"Ex-nuptial, paternity not acknowledged births",2615,NUM,
1981,Queensland,"Ex-nuptial, paternity not acknowledged births",2604,NUM,
1982,Queensland,"Ex-nuptial, paternity not acknowledged births",2737,NUM,
1983,Queensland,"Ex-nuptial, paternity not acknowledged births",2900,NUM,
1984,Queensland,"Ex-nuptial, paternity not acknowledged births",2583,NUM,
1985,Queensland,"Ex-nuptial, paternity not acknowledged births",2693,NUM,
1986,Queensland,"Ex-nuptial, paternity not acknowledged births",2728,NUM,
1987,Queensland,"Ex-nuptial, paternity not acknowledged births",2675,NUM,
1988,Queensland,"Ex-nuptial, paternity not acknowledged births",2691,NUM,
1989,Queensland,"Ex-nuptial, paternity not acknowledged births",3017,NUM,
1990,Queensland,"Ex-nuptial, paternity not acknowledged births",3175,NUM,
1991,Queensland,"Ex-nuptial, paternity not acknowledged births",2768,NUM,
1992,Queensland,"Ex-nuptial, paternity not acknowledged births",2544,NUM,
1993,Queensland,"Ex-nuptial, paternity not acknowledged births",2608,NUM,
1994,Queensland,"Ex-nuptial, paternity not acknowledged births",2623,NUM,
1995,Queensland,"Ex-nuptial, paternity not acknowledged births",2486,NUM,
1996,Queensland,"Ex-nuptial, paternity not acknowledged births",2546,NUM,
1997,Queensland,"Ex-nuptial, paternity not acknowledged births",2475,NUM,
1998,Queensland,"Ex-nuptial, paternity not acknowledged births",2166,NUM,
1999,Queensland,"Ex-nuptial, paternity not acknowledged births",2140,NUM,
2000,Queensland,"Ex-nuptial, paternity not acknowledged births",2097,NUM,
2001,Queensland,"Ex-nuptial, paternity not acknowledged births",2202,NUM,
2002,Queensland,"Ex-nuptial, paternity not acknowledged births",2263,NUM,
2003,Queensland,"Ex-nuptial, paternity not acknowledged births",2417,NUM,
2004,Queensland,"Ex-nuptial, paternity not acknowledged births",1957,NUM,
2005,Queensland,"Ex-nuptial, paternity not acknowledged births",1813,NUM,
2006,Queensland,"Ex-nuptial, paternity not acknowledged births",1733,NUM,
2007,Queensland,"Ex-nuptial, paternity not acknowledged births",2050,NUM,
2008,Queensland,"Ex-nuptial, paternity not acknowledged births",2534,NUM,
2009,Queensland,"Ex-nuptial, paternity not acknowledged births",3585,NUM,
2010,Queensland,"Ex-nuptial, paternity not acknowledged births",2997,NUM,
2011,Queensland,"Ex-nuptial, paternity not acknowledged births",2600,NUM,
2012,Queensland,"Ex-nuptial, paternity not acknowledged births",2695,NUM,
2013,Queensland,"Ex-nuptial, paternity not acknowledged births",2570,NUM,
2014,Queensland,"Ex-nuptial, paternity not acknowledged births",2710,NUM,
2015,Queensland,"Ex-nuptial, paternity not acknowledged births",2639,NUM,
2016,Queensland,"Ex-nuptial, paternity not acknowledged births",2417,NUM,
2017,Queensland,"Ex-nuptial, paternity not acknowledged births",3268,NUM,
2018,Queensland,"Ex-nuptial, paternity not acknowledged births",3583,NUM,
2019,Queensland,"Ex-nuptial, paternity not acknowledged births",3564,NUM,
2020,Queensland,"Ex-nuptial, paternity not acknowledged births",3199,NUM,
2021,Queensland,"Ex-nuptial, paternity not acknowledged births",3849,NUM,
2022,Queensland,"Ex-nuptial, paternity not acknowledged births",3426,NUM,
2023,Queensland,"Ex-nuptial, paternity not acknowledged births",3494,NUM,
2024,Queensland,"Ex-nuptial, paternity not acknowledged births",3740,NUM,
1975,Australian Capital Territory,Crude birth rate,21,NUM,
1976,Australian Capital Territory,Crude birth rate,20.6,NUM,
1977,Australian Capital Territory,Crude birth rate,20.6,NUM,
1978,Australian Capital Territory,Crude birth rate,19.2,NUM,
1979,Australian Capital Territory,Crude birth rate,19.2,NUM,
1980,Australian Capital Territory,Crude birth rate,18.9,NUM,
1981,Australian Capital Territory,Crude birth rate,18.2,NUM,
1982,Australian Capital Territory,Crude birth rate,17.6,NUM,
1983,Australian Capital Territory,Crude birth rate,17.3,NUM,
1984,Australian Capital Territory,Crude birth rate,16.8,NUM,
1985,Australian Capital Territory,Crude birth rate,16.3,NUM,
1986,Australian Capital Territory,Crude birth rate,15.8,NUM,
1987,Australian Capital Territory,Crude birth rate,15.5,NUM,
1988,Australian Capital Territory,Crude birth rate,15.9,NUM,
1989,Australian Capital Territory,Crude birth rate,15,NUM,
1990,Australian Capital Territory,Crude birth rate,15.8,NUM,
1991,Australian Capital Territory,Crude birth rate,16.4,NUM,
1992,Australian Capital Territory,Crude birth rate,15.1,NUM,
1993,Australian Capital Territory,Crude birth rate,14.7,NUM,
1994,Australian Capital Territory,Crude birth rate,14.8,NUM,
1995,Australian Capital Territory,Crude birth rate,14.4,NUM,
1996,Australian Capital Territory,Crude birth rate,14.2,NUM,
1997,Australian Capital Territory,Crude birth rate,13.6,NUM,
1998,Australian Capital Territory,Crude birth rate,12.8,NUM,
1999,Australian Capital Territory,Crude birth rate,13.5,NUM,
2000,Australian Capital Territory,Crude birth rate,12.8,NUM,
2001,Australian Capital Territory,Crude birth rate,12.2,NUM,
2002,Australian Capital Territory,Crude birth rate,12.7,NUM,
2003,Australian Capital Territory,Crude birth rate,12.6,NUM,
2004,Australian Capital Territory,Crude birth rate,12.7,NUM,
2005,Australian Capital Territory,Crude birth rate,12.7,NUM,
2006,Australian Capital Territory,Crude birth rate,13.4,NUM,
2007,Australian Capital Territory,Crude birth rate,13.9,NUM,
2008,Australian Capital Territory,Crude birth rate,13.8,NUM,
2009,Australian Capital Territory,Crude birth rate,13.7,NUM,
2010,Australian Capital Territory,Crude birth rate,14.2,NUM,
2011,Australian Capital Territory,Crude birth rate,13.9,NUM,
2012,Australian Capital Territory,Crude birth rate,14.5,NUM,
2013,Australian Capital Territory,Crude birth rate,14.5,NUM,
2014,Australian Capital Territory,Crude birth rate,14.3,NUM,
2015,Australian Capital Territory,Crude birth rate,14,NUM,
2016,Australian Capital Territory,Crude birth rate,12.8,NUM,
2017,Australian Capital Territory,Crude birth rate,15,NUM,
2018,Australian Capital Territory,Crude birth rate,12.6,NUM,
2019,Australian Capital Territory,Crude birth rate,12.7,NUM,
2020,Australian Capital Territory,Crude birth rate,12.1,NUM,
2021,Australian Capital Territory,Crude birth rate,12.2,NUM,
2022,Australian Capital Territory,Crude birth rate,11.9,NUM,
2023,Australian Capital Territory,Crude birth rate,11.2,NUM,
2024,Australian Capital Territory,Crude birth rate,11,NUM,
1975,Victoria,Female births,29913,NUM,
1976,Victoria,Female births,29456,NUM,
1977,Victoria,Female births,28577,NUM,
1978,Victoria,Female births,28551,NUM,
1979,Victoria,Female births,27985,NUM,
1980,Victoria,Female births,28251,NUM,
1981,Victoria,Female births,29016,NUM,
1982,Victoria,Female births,29174,NUM,
1983,Victoria,Female births,29233,NUM,
1984,Victoria,Female births,29081,NUM,
1985,Victoria,Female births,30058,NUM,
1986,Victoria,Female births,29307,NUM,
1987,Victoria,Female births,29902,NUM,
1988,Victoria,Female births,30446,NUM,
1989,Victoria,Female births,31161,NUM,
1990,Victoria,Female births,32613,NUM,
1991,Victoria,Female births,31802,NUM,
1992,Victoria,Female births,32075,NUM,
1993,Victoria,Female births,31256,NUM,
1994,Victoria,Female births,31070,NUM,
1995,Victoria,Female births,30483,NUM,
1996,Victoria,Female births,29556,NUM,
1997,Victoria,Female births,29484,NUM,
1998,Victoria,Female births,29189,NUM,
1999,Victoria,Female births,28774,NUM,
2000,Victoria,Female births,28845,NUM,
2001,Victoria,Female births,28683,NUM,
2002,Victoria,Female births,29873,NUM,
2003,Victoria,Female births,29801,NUM,
2004,Victoria,Female births,30492,NUM,
2005,Victoria,Female births,30985,NUM,
2006,Victoria,Female births,31706,NUM,
2007,Victoria,Female births,34204,NUM,
2008,Victoria,Female births,34398,NUM,
2009,Victoria,Female births,34644,NUM,
2010,Victoria,Female births,34431,NUM,
2011,Victoria,Female births,34544,NUM,
2012,Victoria,Female births,37749,NUM,
2013,Victoria,Female births,35913,NUM,
2014,Victoria,Female births,36167,NUM,
2015,Victoria,Female births,35736,NUM,
2016,Victoria,Female births,40454,NUM,
2017,Victoria,Female births,39786,NUM,
2018,Victoria,Female births,38134,NUM,
2019,Victoria,Female births,37519,NUM,
2020,Victoria,Female births,35845,NUM,
2021,Victoria,Female births,36912,NUM,
2022,Victoria,Female births,36773,NUM,
2023,Victoria,Female births,34802,NUM,
2024,Victoria,Female births,39481,NUM,
1975,Victoria,Sex ratio,106.5,NUM,
1976,Victoria,Sex ratio,105.1,NUM,
1977,Victoria,Sex ratio,107.3,NUM,
1978,Victoria,Sex ratio,105.6,NUM,
1979,Victoria,Sex ratio,105.9,NUM,
1980,Victoria,Sex ratio,105.4,NUM,
1981,Victoria,Sex ratio,104.3,NUM,
1982,Victoria,Sex ratio,105.2,NUM,
1983,Victoria,Sex ratio,105,NUM,
1984,Victoria,Sex ratio,104.5,NUM,
1985,Victoria,Sex ratio,104.8,NUM,
1986,Victoria,Sex ratio,105.3,NUM,
1987,Victoria,Sex ratio,105.7,NUM,
1988,Victoria,Sex ratio,104.1,NUM,
1989,Victoria,Sex ratio,105.4,NUM,
1990,Victoria,Sex ratio,105.3,NUM,
1991,Victoria,Sex ratio,105.8,NUM,
1992,Victoria,Sex ratio,105,NUM,
1993,Victoria,Sex ratio,104.9,NUM,
1994,Victoria,Sex ratio,105.9,NUM,
1995,Victoria,Sex ratio,105.3,NUM,
1996,Victoria,Sex ratio,106.9,NUM,
1997,Victoria,Sex ratio,106,NUM,
1998,Victoria,Sex ratio,107.2,NUM,
1999,Victoria,Sex ratio,104.6,NUM,
2000,Victoria,Sex ratio,105.1,NUM,
2001,Victoria,Sex ratio,104.4,NUM,
2002,Victoria,Sex ratio,105.8,NUM,
2003,Victoria,Sex ratio,104.9,NUM,
2004,Victoria,Sex ratio,104.7,NUM,
2005,Victoria,Sex ratio,104.3,NUM,
2006,Victoria,Sex ratio,105.8,NUM,
2007,Victoria,Sex ratio,105.6,NUM,
2008,Victoria,Sex ratio,106.9,NUM,
2009,Victoria,Sex ratio,104.7,NUM,
2010,Victoria,Sex ratio,105,NUM,
2011,Victoria,Sex ratio,106.8,NUM,
2012,Victoria,Sex ratio,105.1,NUM,
2013,Victoria,Sex ratio,106,NUM,
2014,Victoria,Sex ratio,105.2,NUM,
2015,Victoria,Sex ratio,105.9,NUM,
2016,Victoria,Sex ratio,104.9,NUM,
2017,Victoria,Sex ratio,106.3,NUM,
2018,Victoria,Sex ratio,105.8,NUM,
2019,Victoria,Sex ratio,105.8,NUM,
2020,Victoria,Sex ratio,105.2,NUM,
2021,Victoria,Sex ratio,104.2,NUM,
2022,Victoria,Sex ratio,104.5,NUM,
2023,Victoria,Sex ratio,106.6,NUM,
2024,Victoria,Sex ratio,105.7,NUM,
1975,Tasmania,Sex ratio,106.9,NUM,
1976,Tasmania,Sex ratio,107,NUM,
1977,Tasmania,Sex ratio,105.8,NUM,
1978,Tasmania,Sex ratio,102.7,NUM,
1979,Tasmania,Sex ratio,102.6,NUM,
1980,Tasmania,Sex ratio,106.5,NUM,
1981,Tasmania,Sex ratio,103.3,NUM,
1982,Tasmania,Sex ratio,105.6,NUM,
1983,Tasmania,Sex ratio,107,NUM,
1984,Tasmania,Sex ratio,100.9,NUM,
1985,Tasmania,Sex ratio,102,NUM,
1986,Tasmania,Sex ratio,108.4,NUM,
1987,Tasmania,Sex ratio,105.3,NUM,
1988,Tasmania,Sex ratio,102.6,NUM,
1989,Tasmania,Sex ratio,106,NUM,
1990,Tasmania,Sex ratio,105.8,NUM,
1991,Tasmania,Sex ratio,101.1,NUM,
1992,Tasmania,Sex ratio,106,NUM,
1993,Tasmania,Sex ratio,106.4,NUM,
1994,Tasmania,Sex ratio,104.5,NUM,
1995,Tasmania,Sex ratio,106.6,NUM,
1996,Tasmania,Sex ratio,107.6,NUM,
1997,Tasmania,Sex ratio,106.5,NUM,
1998,Tasmania,Sex ratio,104.4,NUM,
1999,Tasmania,Sex ratio,102.7,NUM,
2000,Tasmania,Sex ratio,110.3,NUM,
2001,Tasmania,Sex ratio,110.5,NUM,
2002,Tasmania,Sex ratio,101.1,NUM,
2003,Tasmania,Sex ratio,107.7,NUM,
2004,Tasmania,Sex ratio,108.4,NUM,
2005,Tasmania,Sex ratio,104.9,NUM,
2006,Tasmania,Sex ratio,107.1,NUM,
2007,Tasmania,Sex ratio,103.8,NUM,
2008,Tasmania,Sex ratio,103.9,NUM,
2009,Tasmania,Sex ratio,104.9,NUM,
2010,Tasmania,Sex ratio,108.1,NUM,
2011,Tasmania,Sex ratio,106.3,NUM,
2012,Tasmania,Sex ratio,104,NUM,
2013,Tasmania,Sex ratio,100.7,NUM,
2014,Tasmania,Sex ratio,104.2,NUM,
2015,Tasmania,Sex ratio,106.7,NUM,
2016,Tasmania,Sex ratio,104.7,NUM,
2017,Tasmania,Sex ratio,102.7,NUM,
2018,Tasmania,Sex ratio,106.1,NUM,
2019,Tasmania,Sex ratio,107.4,NUM,
2020,Tasmania,Sex ratio,103.1,NUM,
2021,Tasmania,Sex ratio,106.6,NUM,
2022,Tasmania,Sex ratio,101.8,NUM,
2023,Tasmania,Sex ratio,105.1,NUM,
2024,Tasmania,Sex ratio,99.8,NUM,
1975,Northern Territory,"Ex-nuptial, paternity not acknowledged births",288,NUM,
1976,Northern Territory,"Ex-nuptial, paternity not acknowledged births",258,NUM,
1977,Northern Territory,"Ex-nuptial, paternity not acknowledged births",208,NUM,
1978,Northern Territory,"Ex-nuptial, paternity not acknowledged births",253,NUM,
1979,Northern Territory,"Ex-nuptial, paternity not acknowledged births",265,NUM,
1980,Northern Territory,"Ex-nuptial, paternity not acknowledged births",244,NUM,
1981,Northern Territory,"Ex-nuptial, paternity not acknowledged births",254,NUM,
1982,Northern Territory,"Ex-nuptial, paternity not acknowledged births",230,NUM,
1983,Northern Territory,"Ex-nuptial, paternity not acknowledged births",358,NUM,
1984,Northern Territory,"Ex-nuptial, paternity not acknowledged births",373,NUM,
1985,Northern Territory,"Ex-nuptial, paternity not acknowledged births",462,NUM,
1986,Northern Territory,"Ex-nuptial, paternity not acknowledged births",490,NUM,
1987,Northern Territory,"Ex-nuptial, paternity not acknowledged births",519,NUM,
1988,Northern Territory,"Ex-nuptial, paternity not acknowledged births",566,NUM,
1989,Northern Territory,"Ex-nuptial, paternity not acknowledged births",572,NUM,
1990,Northern Territory,"Ex-nuptial, paternity not acknowledged births",643,NUM,
1991,Northern Territory,"Ex-nuptial, paternity not acknowledged births",649,NUM,
1992,Northern Territory,"Ex-nuptial, paternity not acknowledged births",703,NUM,
1993,Northern Territory,"Ex-nuptial, paternity not acknowledged births",713,NUM,
1994,Northern Territory,"Ex-nuptial, paternity not acknowledged births",696,NUM,
1995,Northern Territory,"Ex-nuptial, paternity not acknowledged births",769,NUM,
1996,Northern Territory,"Ex-nuptial, paternity not acknowledged births",766,NUM,
1997,Northern Territory,"Ex-nuptial, paternity not acknowledged births",643,NUM,
1998,Northern Territory,"Ex-nuptial, paternity not acknowledged births",689,NUM,
1999,Northern Territory,"Ex-nuptial, paternity not acknowledged births",705,NUM,
2000,Northern Territory,"Ex-nuptial, paternity not acknowledged births",838,NUM,
2001,Northern Territory,"Ex-nuptial, paternity not acknowledged births",887,NUM,
2002,Northern Territory,"Ex-nuptial, paternity not acknowledged births",820,NUM,
2003,Northern Territory,"Ex-nuptial, paternity not acknowledged births",877,NUM,
2004,Northern Territory,"Ex-nuptial, paternity not acknowledged births",800,NUM,
2005,Northern Territory,"Ex-nuptial, paternity not acknowledged births",764,NUM,
2006,Northern Territory,"Ex-nuptial, paternity not acknowledged births",795,NUM,
2007,Northern Territory,"Ex-nuptial, paternity not acknowledged births",763,NUM,
2008,Northern Territory,"Ex-nuptial, paternity not acknowledged births",584,NUM,
2009,Northern Territory,"Ex-nuptial, paternity not acknowledged births",650,NUM,
2010,Northern Territory,"Ex-nuptial, paternity not acknowledged births",628,NUM,
2011,Northern Territory,"Ex-nuptial, paternity not acknowledged births",596,NUM,
2012,Northern Territory,"Ex-nuptial, paternity not acknowledged births",557,NUM,
2013,Northern Territory,"Ex-nuptial, paternity not acknowledged births",516,NUM,
2014,Northern Territory,"Ex-nuptial, paternity not acknowledged births",678,NUM,
2015,Northern Territory,"Ex-nuptial, paternity not acknowledged births",646,NUM,
2016,Northern Territory,"Ex-nuptial, paternity not acknowledged births",621,NUM,
2017,Northern Territory,"Ex-nuptial, paternity not acknowledged births",564,NUM,
2018,Northern Territory,"Ex-nuptial, paternity not acknowledged births",856,NUM,
2019,Northern Territory,"Ex-nuptial, paternity not acknowledged births",546,NUM,
2020,Northern Territory,"Ex-nuptial, paternity not acknowledged births",632,NUM,
2021,Northern Territory,"Ex-nuptial, paternity not acknowledged births",620,NUM,
2022,Northern Territory,"Ex-nuptial, paternity not acknowledged births",670,NUM,
2023,Northern Territory,"Ex-nuptial, paternity not acknowledged births",612,NUM,
2024,Northern Territory,"Ex-nuptial, paternity not acknowledged births",545,NUM,
1975,Western Australia,Births,20365,NUM,
1976,Western Australia,Births,20700,NUM,
1977,Western Australia,Births,20688,NUM,
1978,Western Australia,Births,20662,NUM,
1979,Western Australia,Births,20515,NUM,
1980,Western Australia,Births,20652,NUM,
1981,Western Australia,Births,21900,NUM,
1982,Western Australia,Births,22261,NUM,
1983,Western Australia,Births,23087,NUM,
1984,Western Australia,Births,21625,NUM,
1985,Western Australia,Births,23109,NUM,
1986,Western Australia,Births,24236,NUM,
1987,Western Australia,Births,23332,NUM,
1988,Western Australia,Births,25143,NUM,
1989,Western Australia,Births,25051,NUM,
1990,Western Australia,Births,25356,NUM,
1991,Western Australia,Births,25417,NUM,
1992,Western Australia,Births,25073,NUM,
1993,Western Australia,Births,25081,NUM,
1994,Western Australia,Births,25138,NUM,
1995,Western Australia,Births,25139,NUM,
1996,Western Australia,Births,24793,NUM,
1997,Western Australia,Births,24776,NUM,
1998,Western Australia,Births,24717,NUM,
1999,Western Australia,Births,24849,NUM,
2000,Western Australia,Births,25093,NUM,
2001,Western Australia,Births,24002,NUM,
2002,Western Australia,Births,23601,NUM,
2003,Western Australia,Births,24273,NUM,
2004,Western Australia,Births,25295,NUM,
2005,Western Australia,Births,26253,NUM,
