state,month,marriages
New South Wales,January,2339
New South Wales,February,3164
New South Wales,March,4198
New South Wales,April,4024
New South Wales,May,2988
New South Wales,June,2419
New South Wales,July,2019
New South Wales,August,2957
New South Wales,September,3867
New South Wales,October,4684
New South Wales,November,4672
New South Wales,December,2654
Victoria,January,2357
Victoria,February,3216
Victoria,March,3812
Victoria,April,2905
Victoria,May,2112
Victoria,June,1654
Victoria,July,1401
Victoria,August,1814
Victoria,September,2208
Victoria,October,2910
Victoria,November,3850
Victoria,December,2457
Queensland,January,909
Queensland,February,1218
Queensland,March,1762
Queensland,April,2301
Queensland,May,2072
Queensland,June,1933
Queensland,July,1698
Queensland,August,2618
Queensland,September,2947
Queensland,October,2751
Queensland,November,1989
Queensland,December,1235
South Australia,January,560
South Australia,February,730
South Australia,March,954
South Australia,April,815
South Australia,May,473
South Australia,June,318
South Australia,July,288
South Australia,August,370
South Australia,September,540
South Australia,October,893
South Australia,November,1006
South Australia,December,608
Western Australia,January,827
Western Australia,February,1170
Western Australia,March,1575
Western Australia,April,1370
Western Australia,May,924
Western Australia,June,665
Western Australia,July,632
Western Australia,August,807
Western Australia,September,1140
Western Australia,October,1441
Western Australia,November,1661
Western Australia,December,1010
Tasmania,January,265
Tasmania,February,356
Tasmania,March,340
Tasmania,April,201
Tasmania,May,113
Tasmania,June,99
Tasmania,July,71
Tasmania,August,107
Tasmania,September,128
Tasmania,October,162
Tasmania,November,335
Tasmania,December,191
Northern Territory,January,36
Northern Territory,February,39
Northern Territory,March,28
Northern Territory,April,63
Northern Territory,May,66
Northern Territory,June,115
Northern Territory,July,127
Northern Territory,August,99
Northern Territory,September,55
Northern Territory,October,37
Northern Territory,November,38
Northern Territory,December,35
Australian Capital Territory,January,93
Australian Capital Territory,February,135
Australian Capital Territory,March,190
Australian Capital Territory,April,153
Australian Capital Territory,May,106
Australian Capital Territory,June,81
Australian Capital Territory,July,82
Australian Capital Territory,August,97
Australian Capital Territory,September,121
Australian Capital Territory,October,172
Australian Capital Territory,November,188
Australian Capital Territory,December,107
