STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,348694,21.57%,0.43%
VIC,401272,24.82%,0.51%
QLD,328725,20.33%,0.31%
SA,174928,10.82%,0.71%
WA,264001,16.33%,0.19%
TAS,50291,3.11%,0.53%
NT,13063,0.81%,0.33%
ACT,35632,2.20%,0.56%
TOTAL,1616606,100.0%,0.42%
