"STATE","Grand Total Intent Registrations","State % of Total Intent Registrations","% Variance from previous month"
NSW,1968033,45.95%,-0.02%
VIC,427533,9.98%,0.06%
QLD,618110,14.43%,-0.01%
SA,656980,15.34%,0.26%
WA,440574,10.29%,-0.00%
TAS,139211,3.25%,-0.05%
NT,7156,0.17%,0.06%
ACT,25025,0.59%,0.39%
TOTAL,4282622,100.00%,0.03%
