"STATE","18-24","25-34","35-44","45-54","55-64","65+","Total","% of ABS Estimated Population"
NSW,4724,127883,223177,224326,184295,193434,957839,31.8%
VIC,5354,37310,63521,52629,41601,42837,243252,10.3%
QLD,5013,75369,80455,63259,39955,32937,296988,16.0%
SA,28944,60945,61279,59420,50644,52531,313763,45.5%
WA,2136,17278,50128,55161,45122,48778,218603,22.0%
TAS,622,4522,14707,16866,14872,16883,68472,32.9%
NT,167,625,1076,1073,642,366,3949,4.6%
ACT,667,2402,3764,3192,2301,2254,14580,9.4%
TOTAL,47627,326334,498107,475926,379432,390020,2117446,22.6%
