"STATE","18-24","25-34","35-44","45-54","55-64","65+","Total","% of ABS Estimated Population"
NSW,1512,127268,221174,228464,197969,233774,1010161,34.7%
VIC,1640,26200,43841,39822,32727,36299,180529,8.0%
QLD,1367,81380,90056,67729,42815,37773,321120,17.7%
SA,31919,66831,65707,62042,53976,62648,343123,51.5%
WA,711,14688,48935,54965,46689,54695,220683,21.8%
TAS,184,3739,14846,16716,15708,19546,70739,34.8%
NT,38,316,768,988,682,415,3207,3.2%
ACT,197,1258,2518,2540,2000,1932,10445,6.9%
TOTAL,37568,321680,487845,473266,392566,447082,2160007,23.7%
