STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1974513,46.23%,-0.02%
VIC,426701,9.99%,0.06%
QLD,617831,14.46%,0.05%
SA,640173,14.99%,0.26%
WA,440912,10.32%,0.02%
TAS,139475,3.26%,-0.03%
NT,7136,0.17%,0.48%
ACT,24751,0.58%,0.41%
TOTAL,4271492,100.00%,0.05%
