STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,287228,24.92%,1.22%
VIC,278309,24.14%,1.48%
QLD,243935,21.16%,1.52%
SA,105073,9.12%,2.05%
WA,172831,14.99%,2.55%
TAS,34392,2.98%,2.43%
NT,9242,0.80%,1.89%
ACT,21658,1.88%,1.22%
TOTAL,1152668,100.00%,1.66%
