STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,153,6238,13310,21217,20810,24185,31101,117014,4.37%
VIC,203,8652,17915,22876,20571,19303,19444,108964,5.48%
QLD,188,6305,12206,17512,19142,20807,21252,97412,6.16%
SA,3218,4743,4521,6175,6885,7847,9935,43324,7.04%
WA,131,5721,10152,12965,13185,12883,12552,67589,8.37%
TAS,55,946,1686,2129,2789,3100,2813,13518,7.18%
NT,10,208,697,874,723,581,294,3387,4.16%
ACT,26,783,1581,1773,1586,1507,1224,8480,6.58%
TOTAL,3984,33596,62068,85521,85691,90213,98615,459688,5.70%
